stage,epidermis,eye,glial,liver,mesenchyme,neural,olfactory,slow_muscle,spinal_cord,vasculature
 14-21,0,0,0,0,4.41,0,0,0,0.98,0
 24-34,0.94,0.69,0,0.61,1.36,2.84,0,0,0,1.14
 36-46,0,0.85,1.23,0,0,0,0,0,0,0
 48-58,0,4.48,4.54,0,0,8.16,0,0,0,0
 60-70,0,20.13,0,0,1.59,6.34,1.95,0,0,0
 72-82,0,26.87,0.97,0,2.21,1.62,0,0,0,0
 84-94,1.01,10.5,0,0,1.98,4.24,0,0,0,0
108-118,0,0,0,0,0,1.55,0,0.42,0.58,0
