stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,57.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,0,0,3.84,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,65.54,0,0,0,0,0,0,12.63,0,0,0,0,0,0
 14-21,0,0,6.58,64.87,1.69,0,0,0,5.23,0,1.84,0,0,0,0,0,7.65,0,0,5.03,133.26,0,0,0.93,1.19,0,0,0,1.91,4,4.14,0,91.51,0
 24-34,0,0,2.93,27.96,6.44,0,0,0,3.94,0,7.25,0,0,0,0.63,0,16.21,0.74,0,7.17,52.49,0,0,0,0,0,4.27,0,0,0,9.7,0,453.2,0
 36-46,0,1.35,0,18.55,1.43,0,0,0,0,0,3.51,0,0,0,0,0,11.32,0,0.6,2.91,106.48,0,0,0,0,0,0,0,0,0,1.19,0,393.69,0
 48-58,0,0,0,6.91,4.94,0.59,0,0,0.58,0,5.8,0,0,0,0.88,0,15.67,0,0.37,1.95,75.68,0,2.08,0,0,0.56,0,0,0,0,3.77,0,435.95,0
 60-70,0,0,0.63,0,1.73,0.65,0,5.75,1.35,0,10.63,0,0.71,0,0,0,6.05,0,1.14,0.66,32.48,0,0,0,0,0,3.51,12.18,0,0,11.4,0,428.88,0.59
 72-82,0,0,0,0.74,13.14,0,0,2.43,1.89,0,10.64,0,0,0,0,0,6.2,0,1.07,0,20.29,0,0,0,0,0,0.74,0,0,0,0,2.53,384.65,0
 84-94,0,0,0.64,0,8.07,0,0,1.27,0,0,18.27,0.55,0,0,0,0,9.47,0,0,0,33.44,0,0,0,0,1.75,0,0,0,0,0,0,494.02,0
 96-106,0,0,1.34,9.21,0,0,0,0,0,0,10.99,0,2.08,1.08,0,0,0.75,0,0,0,22.86,2.39,0,0,0,0,0,0.6,0,0,0,0,357.16,1.34
108-118,0,0,0,5.15,6.08,0,0.64,0,4.25,0,7.91,0.55,0.56,1.43,0,0,1.79,0,0,1.79,21.53,0,0,0,0,0,0,0,0,0,0,0,252.59,0
120,0,0,1.69,0,3.72,0,0,0,0,0,3.46,1.34,0,0,0,8.26,0,0,0,0,25.07,0,0,0,0,0,0,0,0,0,0,0,602.34,0
