stage,blastomeres,eye,mesenchyme,neural,paraxial_mesoderm,spinal_cord
  7-9,8.75,0,0,0,5.98,0
 24-34,0,0,0,1.47,0,0
 36-46,0,0,0.79,2.94,0,6.89
 48-58,0,0,0,0,0,1.28
 60-70,0,0,1.07,0,0,0
 84-94,0,0,0,0,0,1.18
120,0,2.43,0,0,0,0
