stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,17.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.54,0,0,0,0,8.04,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,275.73,0,0,0,17.04,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,36.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.49,0,0,0,4.5,0,0,0,21.01,0,0,0,0,0,0,0,0
 14-21,0,0,0,93.65,4.75,0,17.24,0,0,0,9.17,0,0,9.15,0,5.69,0,0,0,3.43,66.32,0,0,41.35,212.75,6.22,6.42,6.05,3.96,0,3.51,12.98,1.76,3.42,33.06,98.67,0,0,4.02,0,0
 24-34,0,0,0.62,61.38,0.95,0,66.18,0.72,7.41,1.24,20.07,0.67,1.15,9.08,0,5.71,0,4.11,0,2.23,167.83,0,1.52,57.92,1476.11,18.68,8.82,37.03,0,1.14,11.42,0,2.09,2.45,10.34,260.71,0,0,27.58,0,0
 36-46,0,0,0,30.1,2.92,0,587.36,2.44,14.52,2.88,68.27,0,0,10.99,0,0,0.56,3.41,10.77,0.7,238.11,0.58,8.9,41.67,4015.96,21.94,8.86,30.28,7.09,7.92,14.42,2.9,3.52,6.2,0,555.74,0,0,17.4,0,8.17
 48-58,0.97,0,0.46,39.38,2.61,0,2173.3,8.16,14.5,11.15,209.32,0.67,1.64,11.92,2.6,0,11.11,7.85,3.29,1.11,447.68,4.35,28.07,63.56,4775.96,28.06,19.4,53.05,0,1.76,14.24,0,1.56,0.46,0,718.71,0,2.75,25.77,0,10.63
 60-70,0,0,0.65,37.3,0,0,4248.64,6.18,33.04,0.75,166.42,5.74,0,6.28,0.92,2.48,13.91,1.7,2.56,0,490.51,8.8,12.72,18.94,3660.71,18.44,7.17,37.23,0,1.65,11.05,0,1.35,0,0,531.83,0,9.08,8.27,4.26,0
 72-82,0,0,3.07,38.83,3.65,0,3311.26,6,5.92,17.52,196.37,7.98,0,6.69,9.8,3.06,19.35,8.12,2.39,7.34,512.67,4.08,22.5,27.98,2511.95,26.06,4.2,46.73,0,4.47,10.98,0,1.23,1.5,0,218.43,0.56,19.48,14.12,15.21,20.83
 84-94,0,0,5.96,58.34,3.52,0,2353.53,1.38,7.86,5.45,141.79,4.74,0,3.47,2.46,3.21,23.68,4.25,2.38,5.93,497.85,13.1,20.1,23.28,1687.77,41.36,3.56,54.27,0,1.75,16.81,0,3.09,0,0,169.59,0,20.38,28.4,13.78,0
 96-106,0,0,4.31,41.97,12.15,0,1317.03,0.64,1.6,12.9,134.31,7.17,0,3.16,2.24,4.14,19.63,13.99,0.59,0,331.5,0,18.74,17.59,1245.35,8.69,10.23,62.01,0,4.01,7.58,0,2.44,0,0,67.6,4.07,9.13,17.16,16.12,19.88
108-118,0,0,1.27,75.42,1.89,1.39,1130.62,2,5.52,8.98,114.6,17.84,0,1.64,1.01,1.04,54.88,4.88,5.81,3.13,307.99,1.91,15.59,14.64,1476.8,22.84,5.92,61.83,0,6.1,16.44,0,3.63,0.57,0,13.99,0.52,14.96,20.56,13.6,11.89
120,0,0,0,16.46,6.35,1.14,1057.57,1.18,8.28,13.63,164.29,22.8,0,2.09,7.32,1.89,43.41,7.06,8.3,1.33,312.55,7.84,53.64,15.66,1486.76,12.25,2.33,89.87,19.84,10.25,0,0,0,0,0,83.14,6.72,3.62,36.13,6.92,0
