stage,epidermis,erythrocytes,eye,glial,heart,immune,liver,melanocytes,mesenchyme,mucous,neural,paraxial_mesoderm,somites,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.62,0,1.65,0,0,0,0,0,0,0,1.83,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,5.52,0,0,0,0,0
 48-58,0,0,0.62,0,0,0,0,0,0,0,3.65,0,0,0,0,0
 60-70,0,0,35.51,1.01,0,0,0,0,0,0,2.96,0,0,0,0,0
 72-82,0.5,0,192.04,0,0,0,1.52,2.32,1.16,0,1.67,0,0,2.85,0,0
 84-94,0.88,0,240.43,2.98,0,0,0,0,1.79,0,0.77,0,0,0,0,0.69
 96-106,1.27,4.13,348.89,10.22,0,0,0,7.92,10.15,0,22.49,0,0,0,0,0
108-118,0,1.04,330.98,4.54,0,0,0,0,3.93,0.43,5.53,0,0,0,0.69,0
120,0,0,519.07,0,2.63,1.68,0,0,2.49,0,17.35,0,0,0,0,0
