stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.87,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.5,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67,0,0,0,18.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.29,8.45,0,19.59,0,0,3.93,1.08,0,0.93,0,0,0,0,0,0,6.25,0,0,3.51,126.98,0,0,2.69,2.2,0,0,3.52,0.9,0.88,8.35,38.66,0,0,2.13,0,0
 24-34,0,0,1.2,3.88,0,18.65,0,0,4.79,0,0,2.04,0,0,0,0,0,0,27.11,0,0,2.01,331.85,0.7,0.8,5.89,0,0,5.4,0,0,0,1.45,78.46,0,0,4.6,0,0
 36-46,0,0,0,6.99,0.76,21.6,0,0,7.54,0,0,0,0,0,0,0,0,1.14,35.38,0,1.31,3.1,473.31,0,10.07,0.96,0,0,0.58,0,0,0,0,97.27,0,0,3.28,0,0
 48-58,0,0,0,1.34,0.67,93.27,2.05,0,36.13,0,0,2.75,0,0,0,1.54,0,0,15.5,0.63,0.4,1.41,775.56,0,3.61,1.98,0,0.56,0,0,0,0,0,120.56,0,0.85,3.44,0,0.54
 60-70,0,0,0,1.12,0,195.81,3.26,0,52.83,0,0,0.59,0,0,0,0,0,0,28.28,0,0,3.42,910.25,0,2.66,2.36,0,0,0,0,0,1.71,0,137.92,0,5.67,5.3,0,0
 72-82,0,0,0,5.46,0,216.56,0,0,70.15,0,0,2.08,0,0.75,0,3.39,0,1.81,55.39,0,1.43,2.48,890.5,0,5.37,3.68,0,2.41,2.07,0,0,0,0,104.14,0.56,0,12.55,3.64,8.37
 84-94,0,0,0,20.28,0,173.62,1.25,0,48.14,0,0.86,0,1.52,0,16.76,2.86,0.57,9.21,39.96,0,0,0,913.26,0,4.18,0,0,0,5.3,0,0,0,0,69.13,0,1.64,2.5,0,0
 96-106,0,1.15,0,13.01,11.09,224.39,0,1.65,63.71,3.43,0,0.61,0,0,0,0.83,18.13,3.57,104.77,0,1.02,3.39,682.96,0,7.39,1.1,0,1.44,3.03,0,0,0,0,37.02,0.83,1.2,18.68,0,8.09
108-118,0,3.06,0,4.78,1.83,170.31,2.01,3.96,45.67,6,2.74,0.93,1.01,0.91,9.22,1.71,0.73,0.55,105.2,0,0,0,685.89,0,5.12,8.75,0,0,4.13,0,0,0,0,16.75,3.95,0,32.08,2.55,7.67
120,0,2.94,0,18.72,0,156.66,0,6.71,42.47,0,0,0,0,0,0,0,0,0,71.83,0,3.7,2.46,1120.48,0,13.6,0,0,0,4.77,0,0,1.99,0,52.81,0,0,9.64,0,0
