stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.45,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,42.81,61.82,0,0,27.09,0,0,0,0,0,0,0,0,0,0,0,0,761.74,0,0,0,173.5,0,0,11.19,0,0,0,0,0,0,0,0,0
 10-12,0,5.04,28.51,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,148.31,0,0,0,42.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.74,9.38,1.28,0,0,0,0,0,0,0,0,0,0,0,0,2.75,7.25,1.51,0,1.39,0,8.35,0,0,284.94,1.87,3.65,0,0,2.53,0,0
 24-34,0,0,0,0.75,1.91,0,2.17,0,0,0,0,0,0,0,3.54,0,0,0,9.03,110.85,7.32,0.64,0,0,1.86,0,0,128.78,5.81,8.75,0,0,6.52,0,0
 36-46,0,0,0,0,0,0,1.58,10.09,0,0,0,0,0,3.43,8.35,0,0,0,32.82,236.52,2.16,9.71,0,0,0,0,0,80.34,1.74,3.52,0,0,6.77,0,0
 48-58,0.77,0,0,2.16,0,2.18,2.83,1.79,0.61,0,1.7,0,0,3.87,33.64,0,0,0,12.67,167.95,3.61,28.85,0,0,0.37,0,0,42.28,0,3.85,0,0.4,28.09,0,6.54
 60-70,0,0,0,5.59,0,5.52,1.69,11.96,0,0,0,0,0,4.04,25.68,1.91,0,0,6.5,120.91,0,17.18,0,0,3.72,0,0,9.73,0,1.5,0,0,36.84,0,0
 72-82,0,0,0,13.25,0,5.01,5.76,8.33,1.54,0,0,0,0,0,51.13,0,1.12,1.35,17.48,61.84,6.54,11.62,0,0,2.15,0,0,2.47,0,3.09,0,0,25.75,0,0
 84-94,0,0,0,40.65,0,11.55,2.66,10.36,0,0.6,2.01,0.68,0,0.65,103.32,0,8.26,0,5.02,103.37,2.12,52.71,0,1.53,8.22,0,0.7,5.59,0,3.01,3,0.56,29.48,0,0
 96-106,0,0,0,70.05,0,5.78,10.47,35.71,2.76,0,0,0,0,2.03,44.2,1.89,12.93,0,21.38,139.33,7.55,28.68,0,0,5.83,0,0,4.17,0,1.95,1.83,0,18.5,0,0
108-118,0,0,0,69.82,0,5.49,5.38,25.04,6.93,2.79,0,0,0.92,0,95.69,1.3,8.3,7.21,9.03,229.98,2.57,11.66,0,2.11,5.26,0,0,4.84,0,1.87,1.15,10.92,31.66,0,2.26
120,0,0,0,33.2,0,23.03,0,6.25,0,0,0,0,0,0,23,3.43,17.79,0,0,179.07,28.86,4.17,0,0,4.26,0,0,1.8,0,0,3.1,0,14.73,21.83,0
