stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,157.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.51,340.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.08,0,15.52,0,20.46,0,0,0,0,0,0,0,0,0,0,85.5,12.04,0,0,17.41,0,0,0,0,0,0,0,0
 10-12,0,0,9.52,0,3.78,0,0,0,0,0,0,0,0,0,0,84.95,0,0,0,18.46,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.9,2.9,0,0,0,0,0,0,0,3.67,0,1.01,76.71,1.85,0,0,1.09,1.39,2.17,0.96,1.77,0.83,20.26,1.45,0
 24-34,0,0,0,0.7,5.32,0,0,0,0,0,0,0,4.76,0,2.17,73.37,0,1.36,0,0,3.24,0,0.69,0,0.79,19.42,2.85,1.3
 36-46,0,0,0,0,8.65,0,0,4.55,0,0,0,0,3.21,0,0.76,44.11,0,2.42,0,0,0,0,0,0,0,10.97,0,0
 48-58,0,0,0,2.71,12.88,0,0,3.24,1.05,0,0,0,4.71,0.39,1.22,26.55,0,0,0,0,0,0,0,0,0,6.44,0,2.17
 60-70,0,0,0,0,28.48,0,0,2.88,0,0,0,0,1.89,0,0.58,34.42,0,0,0,0,1.55,0,0,0,0,5.89,1.11,0
 72-82,0,0,0,1.85,18.92,0,1.08,1.61,0,0,0.93,0,9.37,1.39,0,16.41,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.99,9.27,0,0,5.15,0,2.92,0,0,5.95,0.86,0,20.47,0,0,0,0,0,0,0,0,0,5.38,0.92,0
 96-106,0,0,0,2.17,6.96,0.6,0,2.26,0,1.14,0,0.7,5.99,0,0,7.64,0,0,0.8,0,0,0,0,0,0,0,1.8,0
108-118,0,0,0,0,3.54,0,3.33,0.75,0,0,0,0,1.88,0,1.04,9.11,0,0,1.82,0,0.59,0,0,0,0,0,1.35,0
120,0,0,0,0,13.58,0,0,5.23,0,0,0,0,6.74,0,0,43.9,0,0,0,0,0,0,0,0,0,0,0,0
