stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,52.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,0,0,0,0,4.13,0,0,0,0,0,0
 14-21,0,0,1.91,2.77,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,3.72,5.76,0,5.89,0
 24-34,0,0,1.32,0,0,17.2,0,0,0,0,0,0,0,0,0,0,1.04,0,26.43,0,0.72,0,0,1.85,0,0,0,3.58,0,12.18,0
 36-46,0,0,0,0,0,12.23,0,0,0,0.67,0,0,0,0,0,0,8.72,0.85,24.94,0,0,0,0,13.24,0,0,0,5.33,0,1.8,0
 48-58,0,0,0,0,0,17.74,0,0,0,0.61,0,4.88,0,0,0,0,1.04,0,14.62,0,0,0.42,0,1.35,0,0,0,1.65,0,0,0
 60-70,0,0,0,0,0,244.09,0,0,0,1.28,0,0,0.58,0,0,0,1.97,0,20.71,0,0,0,0,0,0,0,0,7.54,0,0,0
 72-82,0,0.53,4.5,0,0,508.23,0,0.81,0,5.02,0,0,0,0,0,0,10.36,0,35.53,0,0,0,0,1.4,0,0,0,1.65,3.65,0,0
 84-94,0,0,6.24,7.39,0,527.73,3.76,0,0,0.62,0,0.91,0,0,0,0,6.58,0,17.47,0,0,0,0,3.82,0,0,0,0,0,1.53,0
 96-106,0,0,6.86,0,0,438.13,0,1.45,3.57,0,0,0,1.64,0,0.66,0,1.47,0,25.69,0,0,0,0,0,0,0.6,0,0,0,0,0
108-118,0,0,1.99,0,0.55,396.4,0,0,0,2.28,0.43,0,0,0.87,0,4.86,12.27,2.38,37.16,0,1.9,0.42,0,1.24,0,0,0,0,2.87,2.03,2.08
120,0,0,6.2,2.03,0,600.35,0,7.49,0,2.61,0,0,3.41,1.06,0,0,5.08,0,51,0,0,3.01,0,1.09,0,0,0,0,0,0,0
