stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle
  5-6,44.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.48,0,0,0,0,0,7.24,0,0,0,0,0,0,0,0,0,0,0,0,74.25,8.6,0,0,20.87,0,0,0,0,0,0,0
 10-12,0,0,16.33,0,0,0,16.32,0,0,0,0,7.5,0,0,0,0,0,0,0,87.31,0,0,0,35.18,0,0,9.72,0,0,0,0
 14-21,0,0,0,2.59,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86,0,0,0.88,0.94,0,0.81,0,3.47,0.81,0,0
 24-34,0,0,1.4,4.41,0,0,2.06,0,0,0,0,0,0,0,0,0,9.01,0,1.02,30.87,0,0,0,0,4.38,0,0,0,3.41,0,0
 36-46,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,3.72,0.77,0,13.45,0,0,0.81,0,4.91,0,0,0,1.39,0,0
 48-58,0,0,0,8.64,0,0,7.18,0,0,8.04,1.77,0,0,0,0,0,5.36,0,0.39,21.38,0,0,0.7,0,6.84,0,0,0,1.13,0,0
 60-70,0,0,0,0,0,0,22.38,0,0,7.3,1.57,0,8.19,0,2.21,0,1.36,0,0,22.73,0,0.98,0,0,5.72,0,0,0,0,0,0
 72-82,0,0,0,0.55,0,0,1.52,0,0,1.34,0.62,0,0,0,0,0,0.56,2.24,1.07,3.35,0,0,0,0,1.9,0,0,0,0,0.71,0
 84-94,0,0,0,0,0,0,1.63,0.97,0,0,0,0,0,0,0,0,0.64,0,0,0.56,0,0,0,0,3.81,0,0,0,0,0,0.57
 96-106,0,1.36,0,3.25,0,0,1.3,0,0,8.91,2.19,0,0,0,0,0,0.97,0,0,5.89,0,0,0,0,7.47,0,0,0,0,0,1.58
108-118,0,0,0,2.84,0,5.69,2.14,4.78,0.51,0.57,0,0,0.81,1.02,0,2.1,5.46,0,5.04,12.84,0,0,0,0,2.25,0,0,0,0,0,0
120,0,0,0,2.69,0,0,6.06,2.08,0,0,0,0,2.34,0,0,0,5.59,0,1.18,16.96,0,0,0,0,0,0,0,0,0,0,0
