stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,14.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.62,0,0,0,9.64,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.56,0,0,0,10.93,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.74,0,0,0.83,0,0,0,1.08,0,0,0,0,0,0,0,0,1.21,1.9,0,0,0,51.49,0,0,0,0,0,0,0,30.64,0,0,0,0,0
 24-34,0,0,0,3.26,0,0,5.48,0,0,0,0.85,0,0,0,0,0,0,1.31,0,0,9.93,0,0,1.93,559.02,0,14.48,2.44,0,0,0,0,109.25,0,0,1.45,0,0
 36-46,0,0,0,0.94,0,0,96.1,0,0,0,8.91,0,0,0,4.34,0,0.65,4.41,0,0,22.69,0,0,3.49,1981.95,0,11.79,0.6,0,0,6.97,0,343.77,0,0,0.56,0,0
 48-58,0,0,0,5.04,5.98,0,435.78,0.9,5.26,0.43,56.3,1.26,0,0.91,0,0,0.91,2.26,0,5.78,63.46,1.87,4.59,6.82,3232.75,0,13.93,1.14,0,0,3.18,0.4,504.58,0,0,2.81,0.9,3.28
 60-70,0,0,0.89,15.16,0,0,1030.39,0,0,2.41,49.4,0.58,0,2.37,0.95,0.86,0,0,3.94,0,139.61,0,7.12,16.29,3998.81,2.55,7.79,1.91,0,0,5.31,2.11,585.57,0.84,0.73,0,0,27.04
 72-82,0,0,1.76,15.91,12.98,0,975.51,0,0.72,3.72,61.27,1.07,0.65,0,1.57,0,3.11,0,3.06,0,202.36,2.52,4.22,10.92,2690.17,0,13.69,14.29,0,3.4,2.06,0,263.08,0,3.92,3.29,1.42,18.06
 84-94,0,0,3.65,27.98,2.96,0,582.49,0,1.63,1.58,69,1.93,0,1.48,1,0,1.02,4.22,2.64,0,150.74,0,8.61,8.1,1735.23,0,9.92,12.12,0,0,7.25,0,212.67,0.78,10.67,6.13,0,10.25
 96-106,0,0,0.81,12.77,15.91,0,522.54,0,1.76,0.85,54.89,1.54,0,3.55,1.55,3.42,2.23,0.62,5.88,0,163.6,0,9.62,11.49,1324.02,0,7.25,9.65,0,0,10.97,0.63,75.09,5.55,0.8,0,11.45,16.27
108-118,0,0,2.52,28.3,5.73,3.75,556.05,0,2.53,4.91,38.72,1.74,0,0,1.5,1.64,5.67,0.56,0,10.02,172.55,0,13.1,10.46,1794.78,0,5.81,9.35,0,3.63,0,0,69.07,1.83,1.16,3.89,5.84,0.59
120,0,0,8.73,57.14,13.81,0,621.29,0,16.92,0,136.29,4.17,0,0,0,0,3.86,1.62,4.16,0,172.87,0,0,11.77,3243.82,3.33,22.71,17.48,0,0,1.74,2.7,115.6,7.3,6,0,15.46,0
