stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,11.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64,0,5.93,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,14.68,0,0,0,1.07,0,4.79,4.72,0
 24-34,0,0,0,0.82,2.78,0,0,0,0,0,0,0,0,0,0,28.2,0,0,1.64,0,0,0,6.81,0
 36-46,0,0,0,0,1.17,0,0,0,0,0,0,0,3.34,0,0.85,24.7,0,0,4.13,0,0,0,2.24,0
 48-58,0,0,0,0,1.77,3.06,0,0,0,0,0,0,1.66,0,0,22.25,0.38,0,0,0,0,0,5.65,1.59
 60-70,0,0,0,0,5.86,0,1.81,9.89,0,0.63,0,0,0,0,0,14.8,0,0,0.63,0,0.6,0,1.39,0
 72-82,0,0,0,0,8.99,0,0,0.78,0,0,0,0,1.84,0,1.08,12.88,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.22,4.59,0,0,0,1.74,0,0,1.18,1.63,0.87,0,20.24,0,0,0,0,0,0,2.87,0
 96-106,0,0,0,0.56,0.8,0,0,2.19,0,0,0.71,0,0.74,0,0,1.29,0,0,1.45,0,0,0,0,1.04
108-118,0,0,0.74,2.49,2.47,0,0,0,2.82,0,0,0,3.73,0,0,3.17,0,0,2.04,0,0,0,0,0
120,0,0,0,1.03,3.18,0,0,0,0,0,0,0,0,0,0,8.09,2.34,0,3.22,0,0,0,0,0
