stage,axial,blastomeres,endoderm,eye,hatching_gland,immune,muscle,neural,notochord,paraxial_mesoderm,spinal_cord
  3-4,0,94.12,0,0,0,0,0,0,0,0,0
  5-6,7.63,201.24,0,0,0,0,0,9.62,0,0,0
  7-9,4.06,0,15.94,11.32,9.9,0,0,168.85,4.99,53.72,0
 10-12,0,8.81,27.86,10.76,4.88,0,0,158.72,5.15,64.91,0
 24-34,0,0,0,0,0,0,0,2.7,0,0,0
 36-46,0,0,0,0,0,0,0.98,0.83,0,0,1.33
 84-94,0,0,0,0,0,0,0.71,0,0,0,0
120,0,0,0,0,0,4.66,0,0,0,0,0
