stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,pronephros,spinal_cord
  3-4,0,26.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.12,30.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72,0,0,0
 10-12,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0
 24-34,0,0,2.82,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,4.66,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,17.16,0,0,0.7,0,2.21,0,6.65,0
 48-58,0,0,0,1.99,0,0.49,0,0,0,0.41,0,72.24,0,0,0,0,1.63,0,2.35,1.8
 60-70,0,0,0,0,0,6.45,5.91,0,0,0.99,0,130.83,3.78,0,8.59,0.81,4.17,0,3.9,0.99
 72-82,0,0,0,0,0,1.88,17.12,1.01,0,1.07,0,207.53,2.66,0,0,8.29,19.44,0,1.52,0
 84-94,0,0,0,0,5.6,4.62,15.94,0,0,0,0,210.34,0,3.63,1.63,2.18,25.96,0,4.08,0
 96-106,0,0,0,0.61,0,1.24,31.9,0,2.43,0,0,250.91,3.56,0,0,3.68,12.77,0,5.64,0.86
108-118,0,0,0,0,0,0,22.29,0,0,0,0.71,467.86,0,0,1.67,3.88,13.45,0,1.77,4.67
120,0,0,0,2.65,0,0,26.75,0,0,1.92,0,222.75,0,0,8.9,2.15,49.86,0,1.62,0
