stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,50.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
  7-9,5.17,7.17,9.01,0,0,0,23.16,0,0,0,3.51,0,0,0,0,0,0,0,0,65.17,0,0,0,16.11,0,0,0,0,0,0
 10-12,0,0,4.92,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,60.53,0,0,0,10.09,0,0,0,0,0,0
 14-21,0,0,0,0.85,1.24,0,3.68,0,0,1.81,12.81,0,0,0,0,2.35,0,0,1.22,10.65,0,0,0,0,0,4.05,2.02,2.18,7.37,0
 24-34,0,0,0,0,0,0,0.6,0,1.01,0,0,0,0,0,0,1.34,0,0,0,12.81,0,1.82,2.91,0,11.05,0,0,0,4.79,0
 36-46,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,2.96,0,0,0,12.5,0,0,0,0,3.78,0,0,0,1.65,0
 48-58,0,0,0,0.53,0,0,3.85,1.4,2.58,0.7,0.57,0,0,0.4,0,2.1,0,0,0,11.04,0,0,0,0,1.68,0,2.28,0,1.72,1.2
 60-70,0,0,0,0,0,0,6.9,0,0,0,5.49,0.9,0,0,0,7.74,0,0.7,1.3,3.76,1.36,0,1.72,0,6.93,0,0,0,0,0
 72-82,0,0,0,0,0,0,7.53,0,3.46,4.46,0,0.87,0,0,0,10.03,3.05,0.49,0,7.21,0.91,0,0.79,0,9.18,0,0,0,1.88,0.96
 84-94,0,0,0,2.2,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,14.71,0,0,0.88,0,14.34,0,0,0,0,0
 96-106,0,0,0,1.32,0,0,7.13,0,0,1.16,0,0,0,0,0,2.38,0,1.41,0,4.38,0,0,1.34,0,10.44,0,0,0,0,0
108-118,0,0,0,1.07,1.69,1.22,0,0,0,0,0,0,0.69,0,0.56,3.35,0,0,0,4.31,0,0,2.68,0,11,0,1.19,0,0,0.62
120,0,0,0,1.24,0,0,11.52,0,0,11.45,0,0,0,0,0,0,0,0,0,41.07,0,0,0,0,8.85,0,0,0,0,0
