stage,axial,blastomeres,endoderm,eye,neural,paraxial_mesoderm,pgc
  3-4,0,93.25,0,0,0,0,0
  5-6,0,70.99,0,0,0,0,0
  7-9,0,0,4.21,4.49,84.25,4.95,6.2
 10-12,3.8,0,8.05,14.48,116.81,22.07,0
