stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.79,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,62.66,0,0,0,18.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.3,0,0,0,0,5.32,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,336.6,35.77,0,0,107.2,0,0,0,6.51,0,0,0,0,0,0,0,0
 14-21,0,0,6.35,25.8,0.92,0,9.11,0,0,0,36.97,1.03,0,0,0,0,0,0,0,1.45,16.27,0,0,3.57,101.85,31.38,0,16.58,3.01,0,2.39,14.4,75.01,2.15,14.1,124.7,0,0,0,0,0
 24-34,0,0,0.81,3.33,6.66,0,26.57,0,0,0,64.89,1.26,0,1.13,0,0,1.69,0.7,0.63,6.14,26.8,0,0,4.8,125.49,185.23,2.13,2.66,0,0,0.93,0,75.14,0,3.42,81.3,0,0,0,0,0
 36-46,0,0,0,18.26,0,0,46.41,2.36,2.33,0,283.45,0,0,1.67,0,0,0.65,0,0,5.89,16.8,0,0,5.4,140.54,149.94,6.32,0,0,0,3.04,0,22.07,0,0.7,111.63,0,0,0.58,0,1.52
 48-58,0,0,0,11.7,0,0,205.1,0,0,0,667.88,0,0,1.19,0,0,0.49,0.54,0,6.84,75.61,0,0,1.7,100.45,97.09,2.8,6.64,0,0,2.53,0,6.92,0,0,236.67,0,0,0,0,1.43
 60-70,2.52,0,0,4,0.81,0,1457.48,0,0.79,0,1771.86,0.62,0,0,2.8,0,0,0.96,0,0,353.1,0,0,2.79,173.97,21.18,2.13,2.46,0,0,14,0,1.96,0,0,161.86,1.46,0,0,0,2.81
 72-82,0,0,0,16,10.24,0,2003.74,0,0,2.39,2679.97,0.53,0,0.66,8.39,0,6.14,1.95,0.79,0,694.08,0,0.72,1.28,181.89,19.96,10.32,4.72,0,0,2.08,0,2.45,0,0,58.85,7.06,1.29,1.9,1.87,13.89
 84-94,0,0,0.89,18.08,0.67,0,2057.49,0.56,2.01,0,2088.31,0,0,1.22,2.35,0,13.81,0,26.46,6.84,751.32,0,2.95,3.76,97.27,36.78,10.94,11.01,0,1.65,0.56,0,8.46,0,0,98.8,0,0,1.91,3.86,9.28
 96-106,0,0,0,42.57,12.62,0.59,1375.78,0.87,0,8.29,2273.75,0,0,0.73,12.04,0,1.2,1.31,17.63,2.34,439.43,0,3.79,14.03,131.67,15.82,8.72,11.16,0,0,6.56,0,6.32,0,0,53.62,0.66,5.19,9.28,0,10.25
108-118,0,0,1.35,18.58,1.56,0.55,881.63,0.65,2.74,0,2562.17,0,0,0,7.12,1.38,1.81,4.09,8.35,3.46,291.59,1.18,0,5.87,79.63,37.56,8.08,15.36,0,1.32,7.36,0,5.17,0.66,0,29.02,0,0.53,5.67,0,19.87
120,0,0,0,14.15,2.47,1.14,1012.08,0,3.6,0,3401.53,0,0,0,2.94,0,0,0,10.95,0,486.53,2.21,0,1.67,104,27.11,11.59,0,0,0,6.96,0,11.9,0,0,17.19,1.37,6.77,0,7.45,0
