stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.87,0.85,1.69,0,0,0,0,0,0,0,0.95,0,0,0,0,3.05,0,0,3.19,46.56,2.15,1.37,0,4.31,0,1.55,0,5.22,0,10.12,19.29,0,0,1.05,0,0
 24-34,0,0.83,0.75,2.99,10.05,0,9.68,0,1.02,0,0,0,0.62,0,0,0,0,0,0.65,20.4,0,1.63,11.18,138.68,3.34,5.7,2.34,0,0,15.22,0,0,0,3.09,29.47,0,0,6.11,0,1.62
 36-46,0,0,0,0,6.39,0,3.64,0,0,7.73,0,0,0,0.56,0,0,0,0,0,9.37,0,0,2.09,51.88,1.19,1.86,0.8,0,0,11.97,0,0,3.52,0,8.45,0,0,4.96,0,5.12
 48-58,0,0,0,0,8.57,0,11.54,0,1.69,7.9,0,0,0,0,0,0,0.44,6.39,0,23.65,0,0.46,3.57,93.56,0.51,2.21,1.85,0,0.45,9.81,0,0,0,0,16.73,0,0,3.71,0,2.36
 60-70,0.81,0,0,0,12.28,0,10.05,0,0.98,20.04,0,0,0,0,0,1.09,2.2,0,0,30.23,0,0,8.12,93.73,1.36,6.56,0.77,0,0,6.02,0,0,0.6,0,27.4,0,0,2.31,0,0.65
 72-82,0,0,0.83,0,6.99,0,34.86,0,2.31,49.97,0.99,0.52,0,2.03,0.53,0,1.15,0,0,55.82,0,2.33,3.65,103.79,0,10.55,3.06,0,0,2.26,0,0,1.58,0,24.98,3,1.5,9.95,1.96,6.11
 84-94,0,0,0,0,5.22,6.81,40.19,2.31,6.68,24.98,2.09,0,2.63,0,0,0,0,0.58,0,44.55,0,1.23,0,85.01,2.17,11.66,8.9,0,0,32.06,0,0,0,0,25.72,1.03,0,7.16,1.88,0
 96-106,0,0,0.99,0,0.77,3.82,32.35,1.25,2.01,25.84,3.13,0,0,0.95,0,0.57,3.09,0,0,50.75,0,2.88,3.99,68.23,0.62,16.03,1.96,0,0,20.84,2.06,0,0,0,1.88,0.83,0.76,9.4,2.62,0
108-118,0,0,0,0,6.85,0,51.94,4.75,2.87,42.08,1.66,0,0,0,0,2.72,1.6,0,2.36,58.81,0.42,7.23,4.32,166.68,0.46,11.27,1.68,0,4.35,11.7,0,0,0,0,14.79,0,1.17,3.63,1.48,0
120,0,0,3.64,0,2.46,1.01,43.19,0,15.43,145.4,0,0,0,0,0,5.74,1.69,0,0,79.7,1.15,0,0,326.43,0,13.96,12.91,0,0,4.75,0,0,0,0,17.35,0,4.36,30.35,0,0
