stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.31,38.43,0,0,0,0,0,0,0,0,0,14.19,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.68,0,0,0,3.27,0,0,0,26.55,0,0,15.28,0,0,0,0,0
 10-12,0,0,0,13.79,0,0,0,0,0,0,0,48.43,0,0,0,0,0,0,0,0
 14-21,0,0,4.62,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.97,0,0.81
 24-34,0,0,0.94,0.68,0,0,0,0,0,0.68,0,0.62,0,0,0,0,0,0.61,0,0
 36-46,0,0,0,0,2.26,0,0,0,0.61,0,0,1.23,7.1,0.75,0,2.57,0,0.88,0,0
 48-58,0,0,0,1.4,0,0.86,0,0,0,0,2.83,7.47,0,0,0,0,0,0.79,0,0.43
 60-70,0,0,0,0,0,0.62,0.63,0,0,0.63,2.82,1.08,0,0,0,0.6,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0.51,0
 84-94,0,0,1.73,0,0.58,2.5,0,0,0,1.71,11.95,17.05,0,0.62,0,5.56,0,0,0,6.1
 96-106,0,0,1.92,0,0,0.57,1.47,0,0,0,2.75,0,3.43,0.86,0,7.5,0,0,0,0
108-118,0,0,0.76,0.88,0,0,0.47,0,0,0,0,0.59,0.45,0,0,6.03,0,0,0,0
120,0,0,2.62,0,0,0,3.22,0,0,0,0,0,0,0,0,12.18,0,0,0,0
