stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,15.8,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.09,0,0.83,0,1,1.15,0
 24-34,0,0.95,0,0,0,2.03,0,8.63,0,0,0,1.17,4.53
 36-46,0,0,0,0,0,0,0,2.8,0,0,0,0.58,0
 48-58,0,3.35,0,0,0,0,0,1.04,0,0,0,0,0
 60-70,0,0,0,0,0.67,0,0,0,0,0,0,0,0
 72-82,0,0,2.93,2.01,0,2.09,0,12.54,0,0,0,0,0
 84-94,0,0.66,0,0,0,1.6,0,6.58,2.48,0,0,0,0
 96-106,0,0,0,0,0,1.94,0,4.57,0,0,0,0,0
108-118,0,0,0,0,0,0,0,3.17,0,0,0,0,0
120,0,0,0,0,0,2.84,0,22.32,0,1.12,0,0,0
