stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,70.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,64.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46,0,0,0,0,0,0,0,0
  7-9,16.8,11.81,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,45.96,16.78,0,0,74.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48,27.28,0,0,4.4,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0.8,4.89,3,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,9.31,14.89,9.87,0,0.84,0.84,0,4.19,0,0,4.52,0,0,0,0,0
 24-34,0,0,0,0,7.31,0,0,11.49,0,0,0.62,0.67,0,0,0,0.92,0,0.86,8.93,0,2.59,21.54,0,0,0.73,0,0,13.69,0,5.94,6.54,0,0,1.4,0,0
 36-46,0,0,0,0,4.46,0,0,9.33,0,0,2.35,0.65,0,0,0,1.33,0.75,0,7.89,0,0.56,40.81,0,0.82,0,0,0,13.26,0,2.01,38.5,0,0,1.7,0,2.24
 48-58,0,0,0,0,11.76,0,0,45.25,0.63,0,5.25,5.94,0,0,0,0,0,0,14.39,0,0,138.19,0,0,0,0,0,15.81,0,1.24,44.72,0,0,0,0,0
 60-70,0,0,0,0,26.19,0,0,755.8,3.29,2.26,9.59,2.31,0,0,0,6.1,0,1.73,58.85,0,0,315.24,0,3.45,0,0,0,8.27,0,1.96,21.97,0.91,0,2.66,0,0
 72-82,0,0,1.72,0,17.93,0.52,0,1448.19,5.63,2.35,22.87,11.97,0,2.96,0,1.38,0,0.62,120.02,2.08,3.17,584,0,3.86,0.79,0,0.72,8.84,4.38,0.63,31.17,2.7,0,9.43,0.76,0
 84-94,0,0,1.78,1.01,38.33,0,0,794.3,0.76,0,11.37,9.28,0,1.56,1.36,1.72,0,3.25,98.38,1.04,0,405.52,0,1.36,5.57,0,0,8.23,0,4.08,24.86,1.58,1.93,2.47,0,0
 96-106,0,0,5.74,1.65,42.73,7.13,0,1110.66,4.69,0,22.84,10.28,0,3.42,0,5.58,1.17,2.48,121.31,0,0,497.06,0.85,2.29,0.8,0,0,5.09,0,0,12.84,4.13,0,5.57,0,11.19
108-118,0,0,0,1.03,55.81,1.56,3.45,780.21,7.66,0,28.98,18.79,0.52,3.79,1.7,6.01,0,2.08,140.72,0,6.9,556.45,0,0,0.94,0,1.76,2.16,0,5.35,7.27,6.94,0,6.34,0,0
120,0,0,0,0,49.73,0,0,527.87,5.08,0,49.74,11.7,0,14.95,0,11.36,0,1.84,105.13,0,6.92,880.59,0,0,0,0,0,1.19,0,5.59,26.07,8.71,0,0,0,0
