stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
 14-21,1.18,7.24,0.92,0,1.3,0,0,2.46,0,0,0,0,1.93,0,0,1.78,14.24,3.47,0,0,10.91,1.64,2.72,1.65,13.82,0
 24-34,3.47,0,0,0,7.3,0,0,0,0,0,0,0,6.57,0,0,5.85,35.42,4.49,0.82,0,0,1.28,0,2.76,22.17,0.87
 36-46,0,0,0.64,0,5.13,0,0,0,0,0,0,0,7.17,0,0,0.9,89.64,0.9,0,1.25,0,0,0,0,24.31,1.01
 48-58,0,0,4.92,0,6.16,0,0.49,0,0,0,0,0,5.04,0,0,2.68,69.25,1.14,0.39,0.66,0,0,0,0,13.37,1.15
 60-70,0,0,23.24,0.74,1.91,0.63,0,0,0,0,0,0,4.51,0,0,0,71.91,0.92,0,0,0,0,0,0,14.35,0
 72-82,2.18,0,7.41,0,2,0.52,0,0,2.58,0,0.79,0.5,7.19,0,0.87,1.21,56.26,6.47,0,1.27,0,3.42,0,0,7.79,2.43
 84-94,0.56,0,3.1,0.67,15.79,0,0,0,0,0,0,2.67,1.9,1.27,1.37,1.02,40.18,7.72,0,0,0,1.72,0,0,15.65,1.42
 96-106,1.18,2.8,5.16,0,10.55,0,0,0,0,0,1.11,5.44,9.45,0,0,3.19,20.04,0,1.89,0,0,2.86,0,0,2.33,1.14
108-118,0.51,0.46,16.5,0,3.4,0,0,0,0.55,1.01,0,2.04,17.6,0,0,0,25.09,2.37,1.23,0,0,1.02,0,0,0,3.66
120,0,0,16.98,0,9.55,0,0,0,0,0,0,0,0,0,0,2.36,46.56,0,0,0,0,3.31,0,0,0,1.91
