stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.13,1.14,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,7.73,0,12.52,0,0,0,3.56,0,0,0,0
 24-34,0,14.47,0,10.81,0,3.78,0,1.57,0,1.03,0,0,0,0,1.18,0,0,1.35,0,0,0,214.2,121.11,0.61,3.22,0,0.7,6.41,0,0,0,0
 36-46,0,9.79,0,0.77,0,4.14,0,0,0,1.98,0,0,0,0,0,0,7.12,0,0,0,0,498.14,225.89,0.77,2.02,0,0,13.37,0,4.96,0,0
 48-58,0,8.14,0,2.1,0,8.78,0,0,0.58,1.78,1.67,0,0,0,0,0,0,1.35,0,0,0,252.86,158.8,2.16,0.98,0,0,13.26,0,0,0.78,6.86
 60-70,0,13.46,0,7.95,0,23.65,0,0,0,3.61,7.12,0,0,0,0.8,0,0,0,0,0,0.83,290.41,167.24,0.87,1.36,0,0,30.03,10.54,0,0,5.16
 72-82,0,43.74,0,17.47,0,28.76,0,0,0,21.29,61.18,0,0,9.79,0,0,0,4.53,0,0,0.73,471.37,302.41,0.62,2.85,1.65,0,36.9,53.74,1.41,0,9.66
 84-94,0,56.39,0,24.31,0,66.9,0,0,0,20.22,67.86,0,0,0,0.62,0,0,11.61,2.16,2.23,0.83,355.93,387.37,6.64,3.36,0,0,28.36,130.21,0,0,0
 96-106,0,37.06,0,40.88,1.1,45.56,0,0.95,0,11.03,90.92,10.46,3.06,0,0.63,2.61,0,20.07,0,0,2.81,355.6,814.42,4.43,12.17,5.88,0,22.43,136.52,0,1.12,0
108-118,0,26.13,0,27.78,0,58.34,0.42,1.58,0,8.9,53.12,0,1.38,0,0,1.29,0,25.58,0,0,0,778.45,475.96,2.07,12.29,0,1.88,3.91,141.81,5.86,3.44,3.32
120,0,23.68,0,25.55,0,100.53,0,0,19.12,10.63,64.44,0,4.41,0,1.69,0,0,7.12,0,0,0,857.89,490.79,0,0,0,0,0,50.82,0,0,0
