stage,axial,blastomeres,epidermis,eye,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,13.45,79.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,78.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.94,0,6.72,0,0,8.2,0,0,66.01,6.74,0,14.38,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,55.22,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,0,0,0,0,0,3.29,0,0,0,0,0,0,1.04
 24-34,0,0,0,0.66,0,0,0,0,0,23.08,0,0,0,3.94,0.6,0.62,0
 36-46,0,0,0,3.44,0,0,0,0.78,0.72,14.84,0,0,0,0,0,0,3.32
 48-58,0,0,0.78,0,0.92,0,0,0.45,0,9.51,0,0.53,0,0,0,0,1.93
 60-70,0,0,0,5.65,1.11,0,0,1.67,0,28.24,0,0,0,0,0,0,0
 72-82,0,0,1.33,4.31,0,0,0,0.89,0,18.28,0,0,0,0,0,0,0
 84-94,0,0,0,1.09,0,0.64,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.96,0,1.76,0,0,0,0,4.17,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,7.93,0,0,0,0,0,0,0
120,0,0,0,8.89,0,8.44,0,0,0,48.36,0,0,0,8.14,0,0,0
