stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87,0,0,7.91,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.95,0,0,12.09,0,0,0,0,0,0,0
 14-21,0,1.13,0.8,8.6,1.73,0.85,0,2.3,0,0,0,0,0,0,0,0,2.13,0,7.16,50.55,0,0.94,0,0,9.92,0,5.12,10.08,0,0
 24-34,0,0,0,2.23,0,3.02,0,0,1.01,0,0,0,0,0,0,0,5.94,0,6.24,28.53,0,2.67,0,7.67,0,0,0,8.65,3.09,0
 36-46,0,0,0,1.82,0,1.51,0,0.58,0,0,0,0,0,0,2.66,0,5.72,0,0,31.23,0,0,0,12.2,0,0,0,7.79,0,0
 48-58,0,0,0,4.83,0,7.35,0,2.9,0.89,0,0,0,0,0,0,0,2.3,0,0.48,10.05,0,0,0,0,0,0,0,8.37,0.65,0
 60-70,0,0,0,0,0,14.94,0,1.69,0,7.24,0,0,0,0,0,0,0,0,0,15.43,0,0,0,1.26,0,0,0,1.34,0,0
 72-82,0,0,0,0,0,7.43,0,4.64,0,0,0,0.66,0,1.05,0,0,1.79,1.07,0,39.23,2.67,0,0,0,0,0,0,2.09,0,0
 84-94,0,0,0,0.87,0,25.07,1.88,0,0,0,0,0,0,0,0,0,3,0,0,25.47,0,0,0,3.91,0,0,0,3.59,0,1.57
 96-106,0,0,0,2.23,0,14.77,0,9.25,0,0,0,0,0,0,0,0,5.09,0,0,18.13,0,0,0,0,0,0,0,0,4.93,0
108-118,0,0,0,0.89,0,21.3,0,1.07,0.5,0,1.05,0,2.37,0,0,0.83,1.92,0,0,24.65,0,1.72,0,1.9,0,0.57,0,1.21,0,0
120,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,75.48,0,1.28,0,0,0,0,0,0,0,0
