stage,epidermis,eye,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,2.74,1.35,0,0,5.5,0,0,1.09,0.97,0.97,1.91,0.81,3.77,0
 24-34,0.59,0.75,0,0,0,0,0.74,2.33,0,0,1.44,0,0,32.77,0,0,0,4.01,0,0.7,0.62,3.45,0.93
 36-46,0,2.07,0,1.13,0,0,0,0,0,0,0.59,0,0,28.69,0,0,0,6.43,0,0,0,1.79,0
 48-58,0,3.21,0,0,0,0,0,0,0,0,2.53,0,0.79,13.37,0,0,0,2.6,0,0,0,1.25,0
 60-70,6.05,7.24,0,2.01,0,0.76,0.58,0,0,0,11.72,0,1.76,20.49,0,0,0,1.45,0,0,0,1.53,10.7
 72-82,0,28.56,0,1.29,0,0,0.53,0,0,0,8.86,0,0,23.2,0,0,0,0,0,0,0,7.06,0.6
 84-94,0,3.62,1.27,2.78,0,0,0,0,0,2.87,0.96,0,0,6.35,0,0,0,1.14,0,1.11,0,0,2.16
 96-106,0.56,8.08,0,4.9,0,0,1.39,0,4.87,0.67,5.82,0.93,0,14.83,0,0,1.23,3.96,0,0,0,0,0
108-118,0,11.04,0,4.83,1.52,0,1.23,0,0,0,2.61,0,0,11.39,5.01,2.8,0.86,2.85,0,0,0,0,0
120,3.43,11.78,0,0,0,0,1.45,0,0,0,0,0,0,7.99,0,0,0,1.22,0,0,0,0,0
