stage,blastomeres,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,3.63,0,0,0,0
 10-12,10.22,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.95,0,0,1,0.84
 36-46,0,0,0,0,0,0,0,0,0,7.49,0
 60-70,0,0.72,0,0,0.97,0,0,0,0,0,0
 72-82,0,1.2,0,0,0,0,4.82,2.91,1,0,0
 84-94,0,0,0,0.64,0,0,0,0,0,0,0
 96-106,0,0,0,1.15,0,0,0,2.04,2.96,0,1.95
108-118,0,0,1.07,0.7,0,0.48,3.75,0.45,0,0.48,4.36
