stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,96.16,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.71,0,21.46,0,0,0,0,0,0,0,0,0,0,0,0,133.99,9.78,0,0,40.92,0,0,0,0,0,0,0,0
 10-12,10.51,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,55.8,17.72,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,0,0,0,1.49,0,0,0,0,0,2.68,0,0,0.82,36.52,0.99,0,0,0,0,1,0.83,10.19,0,0,0.96,0
 24-34,0,0.62,0,3.24,0,0,0,0,2.35,0,0,0,2.62,0,0,2.17,52.31,0,0,0,0,0.72,0,0,12.21,0,0,6.82,2.31
 36-46,0,0,0,8.78,0,0,2.09,0,0,0,0,0,7.52,0,0.72,0,63.06,0,1.01,0,0,2.38,0,0,6.73,0,0,1.37,0
 48-58,0,0,3.37,21.24,0,0,2.42,0,0,0,0,0.39,7.98,0.4,0,1.34,71.95,0,2.21,0.4,0,1.19,0,0,0.88,0,0,4.53,0
 60-70,0,0,0.6,43.84,0,0,3.9,0,0,0,0.66,0,6.92,0,0.7,0.67,45.14,1.69,0,0,0,3.09,0,0,10.51,0,0,0,0
 72-82,0,0,0,25.53,0,0,0.63,0,0,0,1.5,0,9.59,0,0,0.53,25.34,0,1.59,0,0,2.85,0,0,2.48,0,1.34,3.58,0
 84-94,0,0,2.61,11.16,0.57,1.83,6.5,0.63,0,0,0,0,16.44,0,0,0,13.53,0,5.16,0.92,0,1.09,0,0,4.84,0,0,0,0
 96-106,0,0,0,10.27,0,0,6.59,0,0,1.25,0,0,5.21,0.67,0,0,9.91,0,0,0,0,0.74,0,0,1.49,2.04,0,0,0
108-118,0,0,1.02,4.63,0,0,3.71,0,2.04,0,0,0,6.48,0,0,1,18.73,0,0,0,0,0.86,0,0,1.76,0,0,3.31,0.48
120,0,0,5.02,12.53,0,0,34,0,0,0,0,0,4.59,0,0,5.39,74.8,0,0,0,0,0,0,0,0,0,0,0,0
