stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
  3-4,17.32,346.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.02,744.12,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,9.67,15.59,0,0,0,0,0
  7-9,4.26,6.05,0,27.67,0,0,117.78,0,27.44,0,0,0,0,486.83,19.12,0,0,132.48,0,0,0,0,0,0
 10-12,0,23.71,0,34.42,0,0,37.59,0,5.06,0,0,0,0,243.94,0,0,0,149.35,0,0,52.31,7.22,0,0
 14-21,0,0,0,0,3.34,1.88,0,0,0,0,0,1.16,2.66,6.77,0,0,0,0,0,2.23,1.46,5.34,0,0
 24-34,0,0,0,0,0.59,0,0.8,0,0,0,0,0,0,4.09,0,0,1.84,0,0,0,0,0,1.01,0
 36-46,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0
 48-58,0,0,0,0,1.28,0,2.81,0,0,0,0,0.4,0,1.06,0,0,0,0,1.82,0,0,0,0.59,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.18,0,2.17,0,0,0,0,0.69,0,0,0,0,0.8
 84-94,0,0,0,0,0,0,0,1.17,0,1.72,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.61,0,0.88,3.46,0,0,0,0,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.01,0,0,0,0,0,0.55,0,0,1.8,0,0.88,0,0,0,0,0,0,0,0
120,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0
