stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,199.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.76,93.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,0,9.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,33.51,0,8.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.01,0,10.01,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,5.95,0,0,0,0,0,0,8.09,2.05,0,0,1.39,0,0,11.03,0,0,0,0,1.44,0,0,0,0,0,0,5.45,0,0
 24-34,0,0,1.27,0.66,4.04,0.72,0,0,0,0,27.88,3.81,0,0,5.03,0,1.76,26.14,0,0,0,0,0,2.28,0.6,4.29,0,0,0,83.58,0,0
 36-46,0,0,2.28,7.36,4.13,0.59,0,0,1.59,0,26.88,0.65,0,0,14.35,0.74,0.83,33.32,0,0,0,4.67,0,0,3.87,0,0.78,0,0,50.79,0,0
 48-58,0,0,0.93,0.4,5.42,6.41,0,0,1.05,0,12.71,0.95,0,0,14.23,0,0.61,39.75,0,0,0,2.39,0,0,1.61,0,2.79,0,0.37,38.53,0,0.66
 60-70,0,0,0,7.33,5.06,5.04,0,0,1.73,0,13.43,0,2.14,0,54.61,0,0.57,11.73,0,0,0,0,0,1.06,2.91,0,0,0,0,37.22,10.85,0
 72-82,0,0,1.13,13.22,21.71,0,0,0.57,5.19,0,17.92,5.12,0,0,63.08,21.22,0.53,53.22,0,0,0,0,0,0,1.5,0,4.55,0,20.16,72.63,87,0
 84-94,0,0,0.69,0.86,30.66,0,0,1.19,0.84,0,17.76,3.66,1.95,0,79.62,21.1,0,54.61,0,0,0,0,0,0,0,0,0,1.5,20.05,75.7,186.23,0
 96-106,0,0,3.3,22.24,22.84,5.83,0,0,0.83,0.63,15.04,5.32,0,1.03,162.77,42.71,12.76,81,0,0,16.14,7.12,0,0,0,0,0,1.68,26.27,70.1,246.55,0
108-118,0.45,0,3.15,10.76,24.53,0,0,0,13.82,0.65,19.38,7.12,0.98,0.6,142.81,39.89,4.85,67.13,0.57,0,23.35,5.3,0,0,0,0,0.72,0,22.64,80.85,157.31,0
120,0,0,0,17.03,0,0,1.11,0,0,0,19.33,6.85,0,0,136.56,13.59,4.75,95.18,0,0,0,5.95,0,0,0,0,0,0,71.27,105.61,305.44,0
