stage,axial,blastomeres,endoderm,eye,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm
  3-4,0,40.34,0,0,0,0,0,29.18,0
  5-6,0,117.2,0,0,0,0,9.15,38.71,0
  7-9,6.64,12.5,3.28,5.38,43.37,14.49,66.31,0,0
 10-12,0,0,19.31,0,70.59,15.78,3.14,0,4.43
