stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.57,1055.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.71,915.31,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,26.19,0,0,0,14.07,6.16,0,0,0,0,0,0
  7-9,6.58,4.86,7.39,0,0,0,0,0,0,0,5.49,0,0,0,0,0,0,58.4,0,0,0,57.29,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,8.97,0,0,0,0,0,0,11.35,0,0,0,25.66,0,6.84,0,0,0,0,0
 14-21,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0.92,0,22.77,0,0,0,0,0,0,3.49,2.71,0,0,0
 24-34,0,0,0.67,0,0,0,0,0,1.68,0,0,0,0,0,0,0.74,0,14.88,1.4,1.94,0,0,0.74,0,0,6.38,1.29,0,2.31
 36-46,0,0,0,0,0,3.15,0,0,0,0,0,0,9.04,0,0,2.21,1.08,25.61,0,0,0,0,0,0,0,2.14,0,0,0
 48-58,0,0,0,0,0,8.54,0,0,1.75,0,0,0,0,0,0,1.32,1.03,26.8,0,0,0,0,0.53,6.1,0,3.94,1.78,0,0.48
 60-70,0,0,0,0,4.47,10.25,0,0.83,1.95,0,0,0.79,0.58,0,0,0.67,0.67,41.57,0,0,0.69,0,7.38,0,0,4.6,0,0,0
 72-82,0,0,0,0.51,0,2.61,1.51,0,1.54,0.82,0,0,0,0,0,8.34,0,24.18,0,0,0,0,0,0,0,2.69,0,0,0
 84-94,0,0,0,1.46,0,2.17,0,0.69,9.62,2.65,0,0,0.55,0,0,7.19,1.71,17.65,0,1.31,0,0,0,0.81,0,1.54,0,0,0
 96-106,0,0,0,0,0,18.56,0,0,1.95,0.81,0,0.79,0,0,0,11.11,0,12.57,0,0.93,0.6,0,0.56,0,0,0,0,3.35,0
108-118,0,0,0,1.67,0,8.21,0,0,3.23,0.8,0,0,0,1.42,0.5,7.5,0,20.66,0,0.84,0,0,2.74,0,0,0,0,0,0
120,0,0,0,0,0,3.71,2.56,0,5.36,0,0,0,0,0,0,0,2.44,48.49,0,0,0,0,1.46,0,0,0,0,0,0
