stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,22.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,10.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,37.48,0,0,0,281.74,0,0,0,32.73,0,0,0,0,0
 14-21,0,0,1.57,0,0,0,0,0,0,0.85,0,0,0,0,0,21.66,0,0,200.26,8.2,0,0,0,9.35,0,0,29.08,384.24,0,0,0,0,0
 24-34,0,0,1.88,0,1.04,0,0,13.58,15.82,0,0,0,8.97,0,0,132.86,1.84,0,242.85,46.21,0,0,0,0,0,0,0,116.46,0.75,0,0,0,0
 36-46,0,0,6.14,0,2.77,0,9.88,22.3,32.57,0,0,0,8.9,0,0,203.95,0,0,179.56,19.43,0,1.07,0,0,0,0,0,0,6.85,1.23,0,0,0
 48-58,0,0,5.36,0,10.38,0,0.5,8.5,23.67,0,0.4,0,2.42,0,0,228.11,0,0,86.28,44.12,0,0,0,0,0,0,0,0,9.92,0.61,0,0,0
 60-70,0,0,0.62,0,0,0,0.9,48.8,2.24,0,1.91,0,3.46,0,0,405,0,0,66.72,32.64,0,0,0,0,0,0,0,0,0,10.86,0,0,0
 72-82,0,0,0,0,19.83,1.43,0,36.11,2.76,0,0,0,0.56,0,0,500.96,0,0,111.65,18.18,0,0,1.64,0,0,0,0,0,0.9,12.93,0,0,0
 84-94,0,0,0,3.31,19.66,0,5.85,58.58,6.92,0,0,0,5.56,0,0,462.39,0,0,74.78,18.31,0,0,0,0,0,0,0,0,2.96,23.45,0,0,0.76
 96-106,0,0,0.97,2.41,7.52,0,0,18.69,2.93,0,2.05,0,3.92,0,0,628.02,0,3.22,55.08,37.03,0,0,0,0,1.28,5.4,0,0,2,20.42,1.14,2.44,0
108-118,0,0.49,4.86,0,13.98,0,0,25.78,1.77,0,0,0,10.62,2.05,0,548.89,1.15,6.01,54.47,49.94,0.9,0,1.89,0,4.07,0,0,0,4.1,28.69,1.44,0,0
120,0,0,23.11,0,16.72,0,3.21,15.97,0,0,0,2.4,4.22,0,53.67,740.39,0,0,38.35,40.58,0,0,0,0,0,0,0,0,0,28.13,0,0,0
