stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.13,0,0,0,0,0,58.04,0,0,0,0,0,0
 14-21,0,3.19,21.14,0,1.81,0,0,0,0,1.03,0.96,0,35.57,0,0,0,0,8.22,0,0,1.76,248.32,5.91,0,0,0.85,0,0,1.01,134.78,0,0,26.41,0
 24-34,0.83,3.74,0,0,0.66,0,0,0,1.35,0,6.23,0,44.69,0,0,0,0,3.16,6.13,0,0,191.05,0.83,0,0,0,0,4.13,0,1,0,0,353.81,0
 36-46,0,7.92,0,0,2.51,0,0.68,0,2.98,0,35.8,0,3.66,0,0,0,0,1.96,0,0,0,245.28,0,3.3,0,0.75,0,0,0,2.37,0,0,808.14,0
 48-58,0,8.89,0,0,6.75,0,2.11,0,1.67,0,47.77,0,0,0.43,0,0,0,10.67,1.17,0,0,72.18,0,0,0,0,0,0,0,1.76,0,0,435.02,0
 60-70,0,7.58,30.96,0,22.25,0,2.74,0,74.48,0.77,86.3,0,8.29,0,0,0,0,24.61,0,0,0,100.05,0,0,0,11.98,0,0,0,10.61,1.72,0,304.67,11.59
 72-82,0,3.27,0.6,0,22.39,0,0,0.5,65.88,0,104.82,1.28,8.89,0,0,0,0,107.32,0,7.57,0.83,123.8,0,0,1.76,0,1.65,0,0,5.33,0,10.64,1154.47,31.95
 84-94,0,11.05,4.59,0,25.74,0,0,0,29.11,0,73.18,0,25.42,0,1.91,0,3.06,113.75,0,32.23,1.35,92.91,0,0,0,2.12,0,0,0,4.75,0.66,27.69,1021.25,27.92
 96-106,0,12.8,8.21,0,63.78,1.62,0,0,309.32,2.96,165.24,0,30.55,0,0,0,1.26,78.35,0,23.62,30.28,156.58,0,0,2.31,1.19,0,0,0,5.88,0,17.42,1299.35,149.42
108-118,0,8.81,0,0,61.64,0,0.46,0,137.99,0.46,89.47,0.87,12,0,0,3.35,0,92.83,0,37.31,1.54,175.3,0,1.15,2.04,2.57,0,0.88,0,0,0.78,4.47,1500.64,47.71
120,0,1.08,20.44,14.33,12.15,0,0,0,101.7,0,102.3,0,24.21,0,0,0,0,113.76,0,110.47,4.81,174.55,2.06,0,0,1.14,0,0,0,0,0,0,1968.29,129.11
