stage,axial,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,4.11,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,4.76,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0
 14-21,0,0.85,0,0,0,4.06,0,0,0,0,0,0,0,8.3,29.97,0,0,0,0,0,0.83,1.11,38.6,0,0,0
 24-34,0,1.53,0.79,15,0,5.08,0,0,0,0,0,0,2.75,25.1,14.08,0,0,0,0.72,0,0,2.75,11.57,0,0,0
 36-46,0,0,2.49,53.09,0,4.04,0,0,0,3.47,0,0,0.82,23.13,4.25,0.81,0,0,0,0,0,0,32,0,0,0
 48-58,0,0,1.23,39.08,0,11.55,0,0,0,13.11,0,0,0.95,14.6,11.3,0,1.44,0,0,0,0,0,12.92,0,0,0
 60-70,0,3.86,8.83,71.13,1.21,12.26,0,0.87,0,28.57,0,0,0,6.67,0,0,0,0,2.24,0,0,0,4.25,0,0,0
 72-82,0,2.7,4.28,56.72,0,7.61,0.93,1.96,0,126.82,0,0,1.97,25.87,0,1.21,0,0,5.91,0,0,0,13.49,0,0,1.85
 84-94,0,15.32,8.88,64.26,0,6.07,0,0,0,45.58,0,0,1.23,13.95,0,5.53,0.79,0,0.58,0,0,0,0.65,0.75,0,0.68
 96-106,0,5.67,20.52,87.29,0.81,2.52,0,0.78,0,113.47,0,0,1.31,24.04,0,1.44,3.94,0,4.71,0,0,0,7.17,0.69,0,5.26
108-118,0,21.69,19.54,145.96,0.73,7.7,0,0.69,3.91,162.98,0,6.63,5.07,15.9,0,0,0,0,6.89,0.66,0,0,0.42,0,0.51,0
120,0,12.04,10.9,183.75,0,3.29,0,0,0,218.88,2.26,0,2.52,37.7,0,0,0,0,2.35,0,0,0,0,0,0,13.95
