stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.73,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,6.43,0,0,4.47,0,0,0,0.81,0,0,7.81,0,0,0
 24-34,0,1.97,0,0,0,0,0,0.97,0,0,0,0,1.61,0,0,73.5,0,0.98,0,0,0,0,51.66,0.7,0,0
 36-46,0,0,1.02,4.04,0,0,0,1.09,0,0,0,0,0,0,0,213.53,0,0.94,4.08,0,0,0,28.48,0,0,0
 48-58,0,1.88,0.43,8.05,0.7,0,0.81,1.05,0,0,0,0,4.5,0,0.41,350.8,0,0,0,0,0,0.39,18.79,0,0,0
 60-70,0,0,0.72,198.9,0,3.17,0,1.85,0,0,0,0,4.29,0,0,666.25,0,0,0,0,0,0,26.54,1.84,0,0
 72-82,0,0,1.18,365.04,0,0,0,11.73,0.61,0,0,0,5.7,0,0,1203.67,0,4.36,0.51,0,0,6.94,72.03,0,0,0
 84-94,0,2.46,0,216.37,0,0,1.18,19.48,0,0,0,0,13.06,0.72,15.56,764.94,0,2.76,0,0,0,0.88,22.95,0,4.46,0
 96-106,0,2.49,1.71,100.16,0,0,0,12.73,0,0,2.16,0,0,3.48,0,734.61,1.05,0,9.49,0,2.88,5.16,8.98,0,0,3.35
108-118,0,4.73,0,143.39,0.54,0,0,17.63,0,0,0,1.13,6.38,0,1.13,951.98,0,3.16,6.93,0,0,0,19.66,0,0,0
120,0,28.7,0,146.09,12.08,0,8.73,4.38,0,3.86,0,0,4.94,0,0,858.6,0,3.54,8.05,0,0,0,30.85,0,0,0
