stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,14.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88,5.41,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,1.14,1.7,0.83,0,0,0
 24-34,0,1.95,0,0,0,0,0,0.63,0,0,0,0,0.94,0,0,0.59,2.33,0,0.7,5.76,0,0.68,0,0,8.68,0,0,0,0,0
 36-46,0,0.61,0,0,0.71,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,6.45,0,0,0,0,0,0.74,0,0,0,0
 48-58,0,0,0.43,0,1.7,4.58,0,4.17,0,0,0,0,0,0,0,2.29,1.52,0,0,20.14,0,0,0,0,10.46,0.99,0,1.74,0,0
 60-70,0,5.04,0,0,2.03,0,0.6,0.72,4,0,0,0,0,0,0,0.91,3.26,0,0,8.88,0,2.39,4.73,0,2.7,0.82,0,1.22,0,0
 72-82,0,0,0,0,2.91,0.81,1.25,5.03,0,0,3.2,0,0,0,0,1.02,5.64,0,0,10.02,0,2.28,4.15,0,2.75,0,0,1.09,0,2.23
 84-94,0,0,0.63,0,4.67,0.68,0.7,15.24,0,0,3.97,1.75,0.65,1.49,0,1.85,0,0,0,7.65,0,2.98,1.57,0,18.55,0,0,1.18,0,0
 96-106,0,0,0,0,16.3,0,2.67,23.07,0,0.73,0,0,0.88,0,0,6.06,6.61,0,0,26.28,0,3.63,3.18,0,4.47,0,0,0,0,0
108-118,1.06,1.79,0,11.28,5.51,0,0,27.32,0,0,0,0,0.98,0,0.58,0.82,7.68,1.23,0,9.2,0,0.5,3.46,0,1.32,2.76,0,0,0.54,0
120,0,7.4,0,5.95,0,0,0,31.69,0,0,0,0,2.85,0,0,2.66,0,0,0,16.44,4.62,2.4,6.93,0,22.05,1.97,0,0,0,2.09
