stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.41,1556.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.21,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.89,1174.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.7,27.67,0,0,52.29,0,7.58,0,0,0,0,0,0,0,0,0,0,0
  7-9,82.76,28.47,0,157.91,0,0,158.91,0,0,0,0,0,74.83,0,0,0,0,0,0,0,0,0,0,1563.45,59.71,0,0,492.82,0,10.04,16.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,84.99,0,115.04,0,26.7,182.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1941.65,175.63,0,0,779.6,0,6.13,30.92,8.95,65.43,0,0,0,0,0,0,0,0
 14-21,0,2.82,0,9.77,517.33,72.64,36.06,0,0,0,17.12,1.95,0,2.37,1.15,5.91,0,1.14,7.56,72.73,0.82,0,93.13,758.84,168.83,2.62,7.06,77.31,0,63.92,0.9,413.28,12.24,25.01,395.59,294.4,0,0,16.96,0,0
 24-34,0.88,0,0,3.95,186.83,5.16,37.06,0.68,20.93,11.6,60.13,1.34,4.49,9.34,0.61,29.31,0.92,8.03,0.79,194.57,2.93,0,126.98,969.52,121.31,3.05,18.18,0,0,141.16,0,2.17,19.19,10.52,105.96,338.57,0,0,111.04,0,0
 36-46,0,0,0,0,113.1,0,37.41,19.9,27.34,22.74,86.62,0,0,18.12,1.25,20.57,2.31,2.58,27.06,396.75,4.23,6.14,116.39,673.2,103.08,2.75,7.59,0,0,204.31,0,0,3.24,9.33,1.33,370.96,0,2.46,118.6,0,1.07
 48-58,0,0,0,0,110.99,3.37,76.97,7.26,28.12,24.73,132.17,2.7,2.22,22.01,1.29,2.69,0.39,1.85,1.89,495.11,12.31,23.99,78.74,507.17,77.38,1.9,10.97,0,1.54,100.95,0,3.76,1.56,7.12,0,242.69,0,6.92,124.92,0,0
 60-70,0.81,0,0,0,129.51,0,545.46,9.68,33.35,52.37,117.39,11,1.56,21.67,11.89,1.28,6.02,3.24,1.2,788.05,2.79,34.01,72.91,378.45,35.9,2.9,12.25,0,8.56,143.32,0,0,3.43,3.66,0,188.32,2.3,16.22,73.05,4.29,0
 72-82,0,0,0,0,117.01,0.54,1285.78,16.09,22.5,36.28,128.23,11.92,0.5,10.23,6.8,4.07,6.8,2.74,8.17,1042.96,6.1,34.84,75.76,329.24,22.48,0.9,12.09,0,9.05,78.28,0,0,3.72,1.06,0,125.61,7.38,48.39,152.67,30.64,7.11
 84-94,0,0,2.79,0,302.71,0,879.28,1.12,32.99,31.03,140.13,30.4,2.3,13.16,4.07,16.41,1.61,10.57,0.6,975.04,11.16,83.86,47.92,257.96,30.78,2.03,20.03,0,6.34,272.6,0,0,7.58,0.55,0,110.39,4.34,31.3,115.76,50.88,0
 96-106,0,0,0,0,363.04,18.44,967.39,3.38,37.04,30.54,127.97,32.15,0,16.14,4.57,9.61,3.31,9.45,23.82,842,8.14,61.33,31.94,269.2,19.45,5.9,16.34,0,11.04,176.22,0,0,1.8,0.64,0,100.59,13.52,71.5,211.74,55.32,5.97
108-118,0,0,0.79,0,507.34,3.28,802.31,2.45,96.63,34.32,125.48,42.07,0,7.53,9.12,14.34,13.67,4.88,5.18,854.42,8.57,39.7,35.57,309.51,12.22,9.69,31.8,0,26.08,184.16,0,0,4.62,0.73,0,43.18,7.09,43.21,163.56,52.72,1.98
120,1.12,0,0,0,449.54,11.97,324.22,5.8,45.09,25.6,228.13,41.81,0,20.49,2.3,13.28,1.11,0,1.02,664.52,9.57,98.53,50.13,534.26,32.4,5.66,26.05,0,7.72,143.83,0,0,3.11,0,0,59.4,1.06,78.92,152.32,52.07,0
