stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.7,311.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.98,283.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.43,3.62,0,10.06,0,0,0,3.76,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,137.54,12.24,0,0,26.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.18,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08,0,0,0,31.67,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.65,0,0,2.18,0,0,0,0,0,0,0.89,0,2.95,0,0,0,0,4.65,0,0,2.15,10.31,3.02,0,1.92,0,0,12.42,0,0,0.87,3.34,0,0,0,0,0
 24-34,0,0,0,0,7.81,0.66,0,3.92,0,7.33,0,4.6,0.64,0,2.82,0,4.38,0,0,0,0,10.3,0,0,2.05,43.19,0.8,0.69,1.09,0,0,14.96,2.21,0,1.39,5.4,0,0,6.18,0,0
 36-46,0,0,0,0,9.79,0,0,6.39,0,2.87,0,9.97,0.67,0,0,0,14.01,0,0,0,0,15.45,0,0.77,4.67,64.6,0,1.46,2.15,0,0,13.59,3.69,0.7,0,6.16,0,0,0.63,0,0
 48-58,0,0,0,0,1.81,0,0,3.86,0,2.06,0.7,26.74,0,0,0,0,1.18,0,1.39,0,0,28.45,1.73,0.51,1.6,29.88,4.84,0.5,3.51,0,0,4.6,0.74,6.36,0,30.2,0,0,1.32,0,0
 60-70,0,0,0,0,33.34,0,0,9.7,5.4,1.55,5.66,39.6,7.88,0,0.87,0,0,0,1.87,1.41,1.11,44.36,0,0.63,2.54,15.95,0,0,2.13,0,0,11.47,5.73,0,0,10.9,0,1.2,0,0,0
 72-82,0,0,0.79,0,15.12,8.63,0,13.42,0,8.18,0,102.46,14.92,0,1.41,0,2.41,0,0.92,1.58,0,83.41,0,1.71,5.96,46.04,0.53,0.88,6.39,0,0,3.06,2.45,0,0,11.41,0,0,5.77,8.64,0
 84-94,0,0,0,1,20.97,8.89,0,7.3,1.17,3.88,0,85.61,31.83,0,1.22,0,4.38,0,1.61,1.43,10.79,66.25,0,0,2.71,13.86,0,0.6,11.88,0,0,14.36,2.54,0.78,0,2.4,0,3.85,3.63,5.18,18.04
 96-106,0,0,2.56,0,7.99,0,1.52,7.24,1.65,5.84,7.54,64.07,138.35,0,4.76,0,0,1.05,0,10.12,0,94.93,0.78,2.17,1.97,73.25,0,0.89,2.72,0,2.41,13.67,4.94,0,0,7.48,2.05,2.63,4.74,2.81,15.49
108-118,0,0,0,0,19.29,2.66,14.02,21.72,0,2.01,3.78,74.89,237.6,0,1.73,0.58,8.96,2.48,0,17.63,0,73.22,0,2.78,4.52,53.54,2.79,1.39,3.99,0,5,5.55,3.92,0,0,11.39,2.51,0,4.33,3.81,8.9
120,0,0,0,0,18.49,0,5.05,6.58,0,2.47,0,97.06,235.59,0,0,0,7.76,2.67,1.34,13.35,0,47.53,0,5.84,4.33,64.88,6.56,0,11.22,0,9.57,12.72,3.89,0,0,1.95,0,0,1.14,0,0
