stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,hatching_gland,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,vasculature
  3-4,26.43,918.82,0,0,0,0,0,0,0,0,0,0,0,22.65,0,0,0
  5-6,62.66,1011.72,0,0,0,0,0,0,0,0,50.57,0,13.43,6.57,0,0,0
  7-9,19.19,9.67,20.87,0,28.91,0,9.32,0,0,0,466.46,3.53,210.76,0,0,0,0
 10-12,0,5.51,7.39,0,27.95,0,0,0,0,0,115.39,0,9.49,0,3.78,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,4.93,1.98,0,0,0,0.94,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0
 48-58,0,0,0,0,0.68,0,0,0,0.39,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.46,0.66,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23
 96-106,0,0,0,1.57,0,0,0,0,1.33,0,1.78,0,0,0,0,0,0
108-118,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0
