stage,axial,blastomeres,endoderm,hatching_gland,neural,notochord,paraxial_mesoderm
  5-6,0,7.81,0,0,0,0,0
  7-9,15.38,0,10.57,4.4,3.21,14.71,4.83
 10-12,0,0,0,3.19,6.59,33.71,5.83
