stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,11.43,135.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,165.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.14,0,8.1,0,0,0,16.59,0,0,0,0,11.88,0,0,0,0,0,0,0,116.97,9.14,0,0,37.48,0,0,11.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,26.98,0,0,0,0,0,0,0,0,0,0,0,0,72.42,7.08,0,0,17.19,0,0,0,0,4.5,0,0,0,0,0,0
 14-21,0,0,0,0,6.5,0,0,0.88,0,0,1.09,0,0,0,0,0.9,0,0,0,1.06,43.04,0,0,0,0,0,1.15,0,3.03,0.81,6.11,9.35,0,0,1.06,0
 24-34,0,0,0,0,0.64,0,0,6.09,0,0,2.07,0,0,0,0,0.74,2.45,0,0,0.92,89.82,0,0,0,0,0,9.48,0,0,0,0.61,13.21,0,0,1.72,0
 36-46,0,0,0,0,0,0,0,24.94,0,0.6,5.92,0,0,0,0,0,5.98,0,0,5.34,137.39,2.94,3.78,0,0,0,0.83,0,0,0,0,33.77,0,0,0.9,0
 48-58,0,0,0,0,0,1.35,0,30.61,2.42,0,6.37,0,0,0.55,0,0,11.01,0,0,0.47,90.03,0,0,0,0,0,0,0,0,0,0,19.76,0,0,0.89,0
 60-70,0,0,0,0,0.64,0,0,51.25,0,1.62,20.65,0,0,0,0,0,10.5,0,0,0,105.48,0,0,0,0,1.03,2.41,0,0,0,0,25.26,0,0,0,0
 72-82,0,0,0,0,0.82,0.49,0,23.13,0,1.16,0,0,0,0,0,0,13.72,0,0.71,0,91.62,0,1.86,0,0,1.03,0,0,0,0.49,0,17.99,0,0,0,0
 84-94,0,0,0,0,4.2,0,1.24,26.25,0,0.83,3.59,0.96,0,0,0,0.69,7,1.73,0.72,0.55,50.52,0,0,0,0,0,3.67,0,0,0,0,9,0,0,0,2.43
 96-106,0,0,0,0,0,7.94,0,12.22,0.62,0,15.53,0,0,0,0.89,0.59,5.2,0,0,0,21.6,0,0.64,0,0,0,8.59,0,0,0,0,0,2.03,0,0.59,0
108-118,0,0,0,0,0.75,0,0,24.73,0,1.39,7.62,1.76,0,0,0,1.53,18.04,0,0,0.46,27.81,0.43,3.38,0,0,0,0,0,0,0,0,0,0,0.67,1.68,0
120,0,0,1.22,0,0,0,0,26.47,0,0,2.06,0,0,0,0,8.99,10.5,0,0,2.4,40.08,0,0,1.61,0,0,5.52,0,0,0,0,5.98,0,0,0,0
