stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.74,178.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0
  5-6,0,112.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.19,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.32,0,0,40.27,0,0,0,8.22,0,0,0,0,0,17.02,0,0,0,0,0,0,0,168.34,9.69,0,0,60.32,0,7.76,0,0,0,0,0,0
 10-12,0,11.17,0,68.19,0,0,0,6.72,0,0,0,0,0,7.68,0,0,0,0,0,0,0,199.16,4.42,0,0,31.67,0,3.78,11.08,0,0,0,0,0
 14-21,0,0,4.09,7.47,49.12,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0.81,0,3.75,14.47,0.88,1.89,0,0,0,0,0,221.92,0,0,0,0
 24-34,0,0,0,0.67,6.5,0,0,0,0,0.93,0,0.63,0,0,0,1.13,0,0,4.14,0,3.45,461.14,0,1.45,0.84,0,1.81,0,0,1174.87,0,6.88,0,0
 36-46,0,0,0,0,1.73,4.04,0,50.52,6.11,10.38,1.45,3.41,0,0,0,0,0,0,1.75,0,1.94,459.32,0,0,0,0,2.32,0,0,1942.74,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,35.44,1.02,0.4,0.45,11.26,0,1.18,0,0,0,0.59,3.9,1.14,0,661.68,0,0,2.22,0,0,0,0,1223.28,0,0,0,1.76
 60-70,0,0,0,0,1.46,0,0,63.65,0,0,0,1.19,0,0,0,0,5.4,0,2.45,0,5.16,301.03,0,0,0,0,3.87,0,0,573.73,0,0,0,0
 72-82,0,0,0,0,8.83,0,0,29.59,0,0,0,2.08,0,0,0,0,0.86,0,15.26,0.72,0,601.5,0,0,0.54,0,1.18,0,0,471.25,0.5,4.49,1.73,0.99
 84-94,0,0,0,0,2.62,0,7.84,15.22,0,0.83,0,5.7,5.29,0,0,6.11,0,0,5.01,0,0,170.09,1.05,0,2.6,0,1.18,0,0,285.75,18.96,0,0,0
 96-106,0,0,0,0,0,0,0,24.34,0,0,0,2.47,3.73,0,0,0,0,0,0,0,0.81,202.22,0,0,0.66,0,3.8,0,0,285.98,64.42,1.48,0.68,0
108-118,0,0,0,0,7.44,0,0.56,10.86,0,0,0.8,2.35,0.51,0,4.94,2.3,0,0,3.58,0,0,193.21,0,8.22,0.71,0,0,0,0,187.2,138.89,0.91,0,0
120,0,0,0,0,62.01,0,0,101.14,0,0,0,5.72,0,0,2.39,0,0,0,19.55,0,0,246.02,1.25,0,4.64,0,0,0,0,297.35,36.34,0,8.85,0
