stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,hatching_gland,heart,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.18,223.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.26,161.14,13.2,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0,0,0,0
  7-9,0,15.34,0,0,6.12,0,0,11.09,0,0,0,0,0,150.27,0,15.97,3.28,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,59.71,0,4.1,0,0,0,0,0,0
 14-21,0,0,0,2.34,0,0,0,0,0.81,0,0,0,0.89,2.57,0,0,0,2.46,0.81,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0.65,0,0,1.69,1.56,2.31,0,0
 36-46,0,0,0,0,0,0,0.75,0,0,0,0,0,0,2.67,0,0,0,6.3,0,7.37,0,0
 48-58,0,0,0,0,3.05,2.23,0,0,0,0.59,0,0,0,3,0,0,0,0,0,22.14,0,0
 60-70,0,0,0,0,0,4.53,0,0,0,2.55,0.89,0,0.74,1.03,0,0,0,0,1.19,0.73,0,0
 72-82,0,0,0,0,1.48,0,11.25,0,0,1.81,0,0,0,4.97,0,0,0,0,1.71,33.36,0,1.76
 84-94,0,0,1.04,0,4.43,0,1.94,0,0,1.24,0.93,0,0,10.21,0,0,0,0,0,30.65,0,0
 96-106,0,0,0,0,3.67,0,1.38,0,0,0.72,0,4.16,0,3.66,0,0,0,0,0,17.76,0.89,0
108-118,0,0,0,0,0,0,5.55,0,0,0,1.79,0,0,9.45,0,0,0,0,0,9.95,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,15.45,0,0
