stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.52,65.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,0,0,0,0,0,0,0,0
  7-9,10.31,0,0,0,0,0,3.43,0,0,0,0,0,4.94,0,0,0,0,0,74.08,4.1,0,0,51.93,0,0,0,0,0,0
 10-12,0,6.86,0,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,48.04,11,0,0,60.3,0,0,64.05,0,0,0
 14-21,0,0,0,2.06,0.95,23,0.8,0,0,0,0,0,0,0,0,0,0,1.09,16.45,0,0,0,0,0,0.87,0,1.81,3.73,0
 24-34,0,0,0.62,0,3.04,27.82,3,0,0,0,0,0,0,0,0,0,3.66,0,39.22,0,0,0,0,5.73,0,0,2.55,8.15,0
 36-46,0,0,0,0,0,11.96,2.81,0,0,0,0.87,0,0,0,0,0,4.22,0,42.15,0,1.15,0,0,3.73,0,0,0,21.41,0
 48-58,0,0,0,0,0,0,4.36,0,3.52,0,3.88,0,0,0,0,0,8.73,0,18.35,0,0,0,0,0.63,0,0,0,7.26,0
 60-70,0,0,0.65,0,0,4.46,13.16,0,0,0,2.87,0,0,0.93,0,0,3.26,0,38.96,3.78,0,0,0,1.8,0,0,0,4.47,0
 72-82,0,0,0,0,2.04,0,11.1,1.33,2.66,0.93,0,0.56,0,0,0,0,8.77,2.12,32.11,0,1.04,0,0,3.43,0,0,0,4.72,6.34
 84-94,0,0,1.11,0,3.04,2.86,8.63,0,0.66,0,1.38,0,0,0,0,0.81,2.62,0,20.54,0.65,0,0,0,5.18,0,0,0,0,0
 96-106,0,0,0,0,0,1.75,8.89,0,0,0,3.53,0,0,0,0,0,8.19,0,16.94,0,0,0,0,1.51,0,0,0,1.07,0
108-118,0,0,0,0,0,0,13.31,0,1.62,1.26,1.55,0,0,0.69,0.46,0,6.05,0,10.53,0,0,0,0,5.53,0,0,0,1.28,0
120,0,0,0,0,0,0,14.87,0,0,0,0,0,0,0,0,0,7.72,0,39.14,0,0,1.61,0,0,0,0,0,0,0
