stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,gut,hatching_gland,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord
  3-4,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.56,0,0,0,0,0,0,0,5.76,0,0,0,5.51,18.09,9.81,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,5.67
 24-34,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,0,0.91
 48-58,0,0,0,0,0,0,0.48,0,0,0,0,0,5.05,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.85,0,1.7,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.74,1.4,0,7.46,1.56,0,21.07,0,0,0,0
 84-94,0,0,0,0,4.96,7.84,0,1.75,0,0.89,0,0,2.97,0,0,0,0
 96-106,0,0,1.11,0,4.85,0,1.64,5.48,0,2.05,3.5,0,10.99,0,0,0.82,0
108-118,0,0,0,0.56,0,0,1.83,4.52,0,2.23,0,0,4.73,0,0,0,0
120,0,0,0,0,0,14.95,0,15.37,0,9.82,0,0,15.15,0,0,0,0
