stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,10.66,24.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,72.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,3.43,0,0,3.41,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,1.11,33.31,0,11.18,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.61,1.34,0,1.51,2.4,0,0.76,0,0,0,0,0,4.7,0.89,1.67,224.98,0,37.41,0,0,0,0,12.82,0,0
 36-46,0,0,0,0,0,1.31,0,0,0.92,0,2.05,0,0,0,0,0.86,9.46,0,0.58,276.63,0,17.35,0,0,6.28,0,11.47,0,0
 48-58,0,0,0,6.75,0,5.1,0,0,5.21,0,0,0,0,0,0,0.83,26.27,0,0,324.32,0,10.38,0.77,0,0,0,9.77,0,0
 60-70,0,0,0,0,0,14.66,0,0,7.51,0,0.75,9.48,0,0,0,0,32.23,0,0,399.7,0,0,0,0,0,0,17.95,0,3.09
 72-82,0,0,0.76,2.16,3.44,28.61,0,0,1.77,0,0,26.98,0,0.85,0,0,51.47,3.96,0.64,257.27,0,4.01,0,0,0,0,13.22,1.03,1.64
 84-94,0,0,0,1.07,0.81,13.4,0,0,7.21,0.71,0,32.25,0.82,0,0,0,29.65,0.57,1.62,173.1,2.07,16.57,0,0,1.14,0,16.53,3.33,5.71
 96-106,0,0,0,7.21,0,9.61,0,0,6.27,0,0,34.9,0.86,0,0.88,0,44.41,0,0,151.94,0,8.77,0,0,0,0,2.74,0,4.08
108-118,0,0,0,5.78,0,8.1,0,3.61,4.3,0,0,23.57,0,0,0,0,54.01,0,0.55,221.42,0,2.16,0.76,0,0,0.87,0.93,0.85,2.07
120,0,0,0,13.24,1.33,21.24,18.62,0,0,0,0,10.08,0,0,0,0,30.09,0,0,198.49,0,6.43,0,0,0,0,2.1,0,5.23
