stage,blastomeres,epidermis,eye,fast_muscle,glial,melanocytes,mesenchyme,muscle,neural,notochord,periderm,somites,spinal_cord,xanthophores
  5-6,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,6.31,0,0,0,0
 14-21,0,1.64,0,0,0,0,0,0,3.92,0,3.72,0.92,0,0
 24-34,0,0,0,0,0,0,0,0.63,3.47,0,1,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.13,0,0.98,0,0,0
 48-58,0,0,6.7,0,0,0,0,0,1.04,0,12.16,0,1.12,0
 60-70,0,0,2.13,0,0,0,1.03,0,1.08,0,0,0,0,0
 72-82,0,0,5.38,1.52,0,0,0,0,6.63,0,0.51,0,0,0
 84-94,0,0,0,0,2.57,0.91,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,2.34,0,0,0,0,3.58
120,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0
