stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,heart,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.35,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.28,0,0,14.19,0,0,0,0,0,0,0,23.69,11.1,0,0,0,0,0
 10-12,0,0,3.66,0,0,4.02,0,0,0,0,0,93.82,0,0,48.99,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.1,1.69,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,1.15,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0,0,0,0.92,0
 48-58,0,0,0,0,0,0,0,0,0.69,0,0,15.53,0,0,0,0,0,0
 60-70,0,0,0,6.2,6.7,0,0,0,1.32,0,0,13.61,0,0,0,0,0,0.72
 72-82,0,0,0,21.4,0,0,1.32,0,0,0,0,31.58,0,0,0,0,3.64,0.63
 84-94,0,0,0,3.87,0,0,0,1.13,1.01,0,0,4.62,0,0,0,0.96,0,0
 96-106,0,0,0,13.89,2,0,0,0,0,0.93,0,6.63,0,0.67,0,0,0,0
108-118,0,0,0,1.66,0,0,0,0,1.83,0,0,14.29,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
