stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,43.82,368.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.03,224.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.13,0,0,0,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.9,0,7.96,0,0,15.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.06,0,0,0,0,0,0,0,0,0,0,8.15,0,0,0,0,0,0
 14-21,0,0,0,0,12.93,0,1.87,0,0,0,0,0,0,3.47,0,0,0,0,3.34,0,26.46,27.22,3.27,37.34,0.94,1.02,0,1.48,0,18.49,0,1386.87,2099.71,12.67,0,0,0,0,0
 24-34,0,0,0,0,14.89,0,11.95,0.68,0.95,0,0,0,0.6,1.37,0,0,0,0,5.97,0,12.53,206.61,0.64,190.4,11.12,0,0,13.26,0,2.37,0,148.27,427.6,4.33,0,0,10.12,0,0
 36-46,0,0,0,0,0.76,0,13.48,2.04,0,1.66,0,0,0,0,0,0.57,0,0,1.55,0,8.96,214.64,0,225.41,11.6,0,0,3.85,0,0,0,18.2,5.04,5.29,0,0,0.82,0,0
 48-58,0,0,0,0,0.43,0,48.02,4.79,0,0,0,0,0,0,0,1.94,0,0,3.88,0,29.3,69.86,0,138.64,5.89,0,0,3.18,0,0,0,0,0,16.62,0,0,0,0,0
 60-70,0,0,0,0,0.65,0,290.7,8.85,0,0,0,0,0,9.12,0,3.06,0,0,1.65,1.43,30.51,23.9,0,118.12,22.17,0,0,0,0,1.38,0,2.16,0,2.2,3.24,0,0,0,1.45
 72-82,0,0,1.66,0,5.55,0.55,757,3.32,1.19,10.78,4,1.55,0,1.39,0,5.11,0,0,7.83,0.66,21.24,62.45,0,185.78,32.77,0,0,0,0,0,0,0,0,0,5.66,0,6.55,3.73,0
 84-94,0,0,0,0,3.66,0,815.71,2.85,0,14.97,3.49,0,1.16,0,0,3.76,4.9,0,14.62,0,20.01,62.42,0,138.4,25.57,0,0,2.96,0,0,0,0,0,0,11.55,1.15,0,0.77,0
 96-106,0,0,1.17,0,0.82,4.64,1085.53,3.37,0,2.32,2.11,0,1.27,0.66,0.95,4.98,2.74,0.71,6.22,0.7,37.51,60.12,0.58,193.46,29.47,0,2.88,7.27,1.35,0,0,0.6,0,2.16,8.28,0,1.25,0.93,2.49
108-118,0,0,1.77,0,5.26,0.66,885.24,1.35,0,7.51,6.05,0,0.91,0.41,0.89,3.67,0,0,10.39,5.33,69.49,42.42,0,127.04,14.99,0,0,9.39,0,0,0,0,0,1.21,3.9,0,0,0,0
120,0,0,0,0,3.26,3.5,815.67,0,0,3.12,11,0,0,1.07,6.33,0,0,0,26.52,7.84,54.24,105.37,0,100.28,8.99,0,0,1.39,0,0,2.05,0,0,0,3.82,0,0,0,3.6
