stage,blastomeres,eye,glial,iridophores,mesenchyme,neural,olfactory,otic,pronephros,spinal_cord
  3-4,18.66,0,0,0,0,0,0,0,0,0
  5-6,36.36,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.38,0,0,0,0
 10-12,0,0,0,0,0,10.49,0,0,0,0
 14-21,0,0,0,0,0,1.24,0,0,0,0
 24-34,0,0,0,0,0,2.78,3.97,0,0.69,4.13
 36-46,0,0,1.16,0,0,0.75,5.24,0,0,7.31
 48-58,0,1.25,6.56,0,0.73,6.99,7.56,0,0,9.28
 60-70,0,1.79,4.44,0,3.35,7.99,4.99,0.62,0,6.22
 72-82,0,0,8.38,0,1.04,16.76,18.48,0,0,8.31
 84-94,0,2.04,8.23,0,0,0.71,8.31,4.2,2.39,4.74
 96-106,0,0,7.16,0,0,2.16,14.13,0,0,0.97
108-118,0,1.73,9.09,1.13,0,9.12,16.1,0,0.78,1.21
120,0,0,2.4,0,0,6.29,22.62,0,0,3.67
