stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,8.61,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,17.07,3.56,0,2.63,0,0,0,10.4,0,0,0,0,8.67,0,8.9,0,0,0.82,566.03,0,0,0,0.85,0,0,0,0,7.25,161.47,0,0,0
 24-34,0,1.71,0,0,23.02,0,0,0,18.16,0,0,0,0.7,0,0,12.33,0,0,0.9,885.99,0,3.33,0,0,3.8,0,0,0,0.65,194.65,0,0.63,0
 36-46,0,5.36,0,0,21.92,0,0,0,18.09,0,0,0,0,0,0,4.28,0,0,4.06,1005.6,0,0,0,0,0,0,0,0,0,318.02,0,0,0
 48-58,0,6.48,2.78,0,67.72,0,0,5.24,10.4,0.39,0,0,0,0,0,8.24,0,0.77,0,1522.34,0,0,0,0,0,0,0.4,0,0,320.38,0,0,5.83
 60-70,0,0,0.7,0,47.51,0,0,0,28.79,0.66,0,0,0,0,0,40.83,0,2.96,0,2411.92,0,0,4.18,0,3.78,0,0,0,0,431.35,0,16.72,0
 72-82,0,9.23,6.96,0,127.48,0,0.61,0,27.2,1.12,0,0,2.68,0,3.31,47.8,0,0.63,2.91,2166.85,0,2.57,1.32,0,2.16,0,0,0,0,186.93,1.21,0.73,3.38
 84-94,1,18.11,0,0,78.2,0,1.33,0,35.44,2.55,1.01,0.67,0.67,0,0,38.57,0.62,0,0,1325.45,0,2.7,0.88,0,0,1.4,0,0.69,0,145.82,0,0,0
 96-106,0,11.51,0,0,71.72,1.42,0,0,27.03,0,0,0,0,0,0,66.41,0,0,0.91,1256.65,0.62,0,1.27,0,10.56,0,0,0,0,21.85,2.47,5.77,0
108-118,0,4.77,4.44,0,62.32,1.3,0,0.82,26.16,0,0,0,0,0,0,50.54,0,0,1,1133.51,0,0,0,0,1.72,0,4.19,0,0,82.9,0,4.07,0
120,0,16.07,7.49,5.4,118.17,0,0,0,10.06,0,3.35,0,0,2.7,0,93.36,0,0,0,2069.45,0,0,0,0,1.1,2.5,0,0,0,149.89,0,0,0
