stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,42.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.73,0,0,0,16.45,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,19.65,0,0,0,0,0,0,0,10.89,0,0,0
 24-34,0,0,0.6,0.68,2.58,0,0,0,2.14,0,0,0,0,1.26,0,0,133.69,0.6,4.74,0,0,0,0,0,31.63,0,0,0
 36-46,0,0,0,0,17.77,0.64,0,0,15.28,0,0,0,3.76,2.92,0,0.84,240.33,0,5.75,0,0,0,0,0,53.16,0,0,0.85
 48-58,0,0,0.99,0,87.94,0,0,0,28.85,0,0.82,0,0,3.04,0,0.64,375.25,1.03,7.42,2.19,0,0,0,0.65,55.95,0,0,0
 60-70,0,6.75,1,0,346.18,0,0,0,40.05,0,0,0,0,12.57,0,0.68,450,0,6.95,1.25,0,0,0,0,56.74,0,0,0
 72-82,0,0.5,5.85,0,593.86,1.65,0,1.24,47.14,0,0,0,0.9,14.72,0,1.07,449.85,0,8.69,0.5,0,0,0,0,41.34,0,0,0
 84-94,0,4.57,2.21,0,315.25,0,1.95,0,41.59,2.05,0.78,0,0,17.79,3.04,0,252.66,0,15.62,2.74,0,0,1.08,0,34.64,2,3.59,4.88
 96-106,0,2.34,2.17,0,285.57,0,0,0,39.93,2.11,0,0,0.9,19.81,0,1.27,211.33,0,8.48,1.74,0,2.99,0,0,12.65,4.97,2.23,0
108-118,0,0,2.23,0,276.62,0,0,0,24.61,0.86,0,0.42,0,12.53,0,0.95,307.57,0,11.82,1.59,0,0,0,0,17.13,0,0,0
120,0,0,9.38,0,303.47,0,0,0,107.32,0,0,3.86,1.07,33.78,0,1.64,1171.04,8.4,16,0,0,0,0,0,10.25,0,0,0
