stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,108.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.26,44.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,43.89,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,1.12,0.86,0,0,0,14.39,0.85,0,0,0,0,0,0
 24-34,0,0,1.24,2.74,0,0,1.58,0,0,0,0.59,0,0,0,0,0,0,0,0,0,4.27,0.6,0,0,0,0.74,0.94,0,0.99,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,5.54,0,0,0,0,0,0,0.47,0,0,0,11.47,0,0,0,0,0,2.4,0,0,0,0,0,0,0,1.02,0,0,0,0.84
 60-70,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0.57,57.6,0,0.57,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.04,10.04,0,0,0,0,0,0,0,270.58,0,2.57,1.59,0,0,31.75,0,0,0.49,0,3.51,2.78,0,0,0,3.3,0,2.09
 84-94,0,0,0,0.64,0,0,6.26,0,0,3.96,0.58,0,0.62,1.03,743,0,7.8,0,3.49,0,40.93,1.16,0,0,0,3.59,2.31,0,0,1.86,0,0,0
 96-106,0,0,0,3.23,18.8,0,37.39,0,0,19.98,2.76,0,3.99,0,1133.11,6.45,21.05,1.66,0,0.56,159.9,0,2.18,1.35,0,1.05,6.09,0.74,10.04,0,6.21,3.61,11.36
108-118,0,0,0,3.93,2.36,0,41.58,0,1.24,9.39,2.48,0,0,0,2191.41,0,14.46,2.46,0,2.86,136.78,0,0,0,1.95,7.8,9.36,0,0,0,6.54,0,0
120,0,0,0,5.31,2.11,0,62.52,2.35,10.57,5.29,0,0,0,0,1198.66,0,28.55,0,10.53,0,79.99,1.8,0,4.06,0,17.03,6.7,0,10.16,0,0,0,0
