stage,eye,glial,mesenchyme,mural_cell,neural,olfactory,pronephros,spinal_cord,vascular_smooth_muscle
 48-58,0,0,0,0,0,0,0.63,1.32,0
 60-70,0,0,0,0,0.72,0,0,0,0
 72-82,7.19,0,0.86,0,1.36,1.88,0,0,0
 84-94,1.3,0,0,0,0,0,0,0,0
 96-106,0,6.47,0,0,1.57,0,0.58,1.23,1.93
108-118,0.91,0,1.35,1.34,4.43,0,0,0,0
120,8.92,0,0,0,31.67,0,4.05,0,0
