stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,58.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.44,0,0,0,3.86,0,4.3,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,0,50.42,0,0,0,11.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,26.97,0,0,0,0,0,0,0,1.11,0,0,2.63,0,1.11,3.68,0,0,0,0,0,0,3.42,0,0,0,0,0
 24-34,0,0,0.65,0.62,2.51,0,0,0,0,0,0,9.03,0,0,1.85,0,1.4,6.51,0,0.67,0,0,0,0,0,2.83,0,0,6.69,0
 36-46,0,0,0,0,9.76,0,0,2.76,0,0,0,23.46,0,0,2.25,0,1.18,21.32,0,0,0,0,0,0,0,4.15,0,0,0.92,0
 48-58,0,0,0.45,0,61.11,0,0.43,0.5,0,0,0,20.23,0,0.54,7.21,0,1.21,11.1,1.36,0,0,0,0,0,0,0,0,0,1.86,0
 60-70,0,0,2.97,0,231.97,0,0,1.33,0,0,0,10.55,0,0,2.54,0,1.42,5.46,0,0,0,0,0,0,0,0,0,0,0.7,0
 72-82,0,0,1.28,0.86,206.36,0,2.27,6.15,0,0,0.89,16.13,0,0,18.49,1.14,2.14,17.03,0,0,0.71,0,0.75,0,0,0.97,0.74,0,4.64,0.53
 84-94,0,0,0.57,0,225.22,0,0.94,2.6,4.04,0,0,55.85,0.74,0,0,0,0,6.12,0,0,0,0,2.4,0,0,3.15,0,2.84,8.56,0
 96-106,0,0,0.61,1.34,216.77,0,0,0,0,0,0,51.39,0,0,6.19,0,0,25.66,0,0,0,0,0.68,0,0,4.67,0,0,1.33,0
108-118,0,0.74,3.62,0.42,208.3,2.03,0,1.3,0,0,0,44.92,0,0,0,0,0,16.82,0,0,0.48,0,1.02,0,0,1.03,0,0,1.03,0.5
120,0,0,0,7.8,226.28,0,0,5.66,0,0,0,77.07,0,0,0,0,0,19.77,0,0,0,0,0,0,0,0,0,0,0,1.43
