stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,22.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0
  7-9,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0,0,0,52.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0,57.09,0,0,0,8.76,0,0,0,0,0,0
 14-21,0,0,0,0,1.99,2.25,9.03,0,0,0,5.78,0,0,0,0,0,2.33,1.21,98.27,0,0,5.07,0.95,3.65,3.9,1.74,43.35,0,0
 24-34,0,0,0,0,0.59,0.69,9.49,0,0,0,3.79,0,0,0,0,0,4.2,0,129.99,1.02,2.37,2.65,0,0.94,0,0,41.03,4.91,0
 36-46,0,0,0,0,0.82,0,8.77,0,0,1.09,31.17,0,0,0,0,0,8,0,119.8,1.53,0,0.71,0,0,0,0,41.12,1.59,0
 48-58,0,0,0,0,0,0,5.96,0,0,0.42,43.97,0,0,0,0,0,10.52,0.98,57.52,0.51,0.44,2.22,0,0,0,0,29.45,3.21,0
 60-70,0,0,0,0,0,0,9.64,2.44,0,0.59,24.52,0,0.58,0,0,0,7.82,4.28,27.09,1.36,1.43,1.67,0,0,0,0,11.41,1.15,0
 72-82,0,0,0.61,0,2.3,0,13.02,0,0,0.58,59.52,0,0.52,0,1.06,0,26.54,0.85,23.79,0,1.18,0,0,0,0,0,11.8,5.41,0
 84-94,0,0,0.8,1.04,2.52,0,13.49,0,0,0,37.64,1.63,0,0,0,0,20.57,1.71,30.75,0,1.71,0.62,0,3.01,0,0,4.19,2.85,0
 96-106,0,0,0,0,0.77,10.33,5.22,0,1.4,1.25,73.76,1.35,1.02,4.79,0.88,0,16.88,3.33,17.8,0.75,0,0.6,0,8.21,0,0,3.09,1.43,0
108-118,0,0,0,0,8.11,0,9.34,0,0,1.82,62.58,0,0.83,1.43,0.41,4.66,19.81,0.42,39.58,0,0.57,0.44,0,0,0,0,2.91,5.8,0.74
120,1.19,0,0,0,1.41,0,19.27,0,0,0,83.54,0,0,0,0,0,13.95,3.83,33.34,2.28,3.29,2.11,0,0,0,0,15.85,8.5,0
