stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle
  5-6,38.43,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,12.23,0,0,0,0,5.11,0,0,4.32,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.37,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.59,0.86,0.84,1.25,0.82,0,0,0,0,2.1,0,0,0.87,0,0,1.45,0,7.32,0
 24-34,0,0,0.76,0,0,2.94,0,0,0,0,0,0.86,0,0,0,0,0,0,0,1.38,0
 36-46,0,0,0,0,9.91,0.94,0,0,0,0.91,3.19,3.78,0,0,0,0,0,0,2.28,2.31,0
 48-58,0,0,0,0,0,1.65,0,0,0,1.24,0,5.7,0,0,0,0,0,0,0,0.58,0
 60-70,0,0,0,0,1.1,0,0,0,0,0,0,13.37,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.47,0,0,0,0,2.5,0,1.24,0,1.23,0,0,0,0,0,0,0
 84-94,0,1.18,0,0,0,0.84,0,0,0,0,0,2.93,0,0,0,0,1.54,0,0,0,0.99
 96-106,0,0,0,0,1.14,0,0,0,2.05,1.05,0,8.65,0,0.6,0,0,1.52,0,0,0,0
108-118,0,0,0,0.88,0,0,0,0,0,4.69,0,3.67,0,0.89,0,0,0,0,0,0.95,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39,0,0,0,0,0,0,0
