stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,87.39,2603.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.95,0,0,0,0,0,0,0,0,0,0,0
  5-6,176.23,3111.29,0,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.88,13.91,0,0,17.53,0,83.84,0,0,0,0,0,0,0,0,0,0,0
  7-9,76.72,147.48,0,67.65,0,0,163.1,0,0,0,0,26.71,0,0,0,0,0,0,0,0,0,0,0,2034.7,83.35,0,0,972.53,0,8.65,15.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.94,0,72.99,0,5.18,163.02,0,0,0,0,24.95,0,0,0,0,0,0,0,0,0,0,0,1786.6,31.38,0,0,615.89,0,0,22.57,9.53,87.69,0,7.22,4.33,0,0,0,0,0
 14-21,0,0,0,1.73,42.25,13.27,19.6,0,0,7.41,2.7,0.98,0,0,0,0,1.14,0,0,34.67,0,0,33.46,514.23,11.83,3.06,1.24,9.27,0,7.18,0,42.13,0.92,1.26,23.93,114.28,0,0,1.68,0,0
 24-34,0,0,1.1,1.33,11.68,4.63,117.94,0,0,23.81,0,0,1.04,0,1.31,0,0.66,7.95,0.67,93,3.21,0,31.03,1205.18,1.88,11.26,5.87,0,0,32.62,0,0,0,0,4.97,215.19,0,0,12.04,0,2.03
 36-46,0,0,0,0,6.67,1.06,262.57,0,0,19.12,0.57,0,1.62,2.16,0,0,0,0,0,72.24,2.96,1.64,13.41,726.91,3.53,9.62,7.1,0,0,26.15,0,0,0,0,0,161.69,0,0,3.97,0,4.73
 48-58,0,0,0,0,16.29,0.48,312.93,0,0.83,31.32,4.52,0,0.69,2.85,5.67,2.88,0,0.39,0,57.74,0.82,0.84,12.5,374.18,2.65,0,3.04,0,0,3.93,0,0,0,0,0,49.64,0,0,4.41,0,1.68
 60-70,0,0,0,0,11.93,1.88,171.82,0,0,16.21,0,0,0,0,5.54,0,0.65,0,0,56.06,0,10.23,14.12,207.08,2.72,0.81,6.61,0,0,3.19,0,0,0,0,0,9.1,0,0,15.87,0,0
 72-82,0,0,0,0,4.34,0,87.01,0,0,16.6,0,2.07,2.28,1.29,0,0.93,0,5.18,0,58.87,0,0.7,4.56,134.04,0,2.91,1.22,0,0,7.78,0,0,0,0,0,7.04,0,0,6.81,0,0
 84-94,0,0,0,0,8.96,9.3,65.35,0.6,0,9.53,1.44,0,0,2.67,0,0,0.78,2.35,0,49.75,1.21,6.34,6.38,118.93,0,0,4.27,0,0,0.89,0,0,0,0,0,5,0,0.99,2.65,0,0
 96-106,0,0,0,0,9.12,0,59.77,0,0,16.64,2,0,0.62,2.54,1.61,0.72,0,0,0,19.88,0,0.63,2.16,68.39,0,2.8,0.64,0,0,0,0,0,0.69,0,0,5.3,0,0,3.51,0.74,0
108-118,0,0,0,0,9.53,2.6,49.32,4.95,0,16.97,2.35,0,0,5.93,1.1,0.51,0.78,1.4,0,33.49,1.14,2.01,4.32,119.82,0,2.51,2.37,0,0,0.52,0,0,0.87,0,0,0.78,0.89,0.57,2,0,0
120,0,0,0,0,7.67,3.86,64.1,0,0,40.83,1.26,0,0,10.45,0,0,1.88,9.58,0,42.9,0,2.76,5.57,221.24,0,2.92,0,0,13.66,0,0,0,0,0,0,0,0,0,5.97,0,0
