stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,28.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.36,212.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0
  7-9,0,0,0,0,0,6.24,0,0,0,4.39,0,0,0,0,0,85.79,0,0,0,26.12,0,0,0,0,0,0
 10-12,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,29.42,0,0,0,6.68,0,0,0,0,0,0
 14-21,0,0,0,4.53,1.17,7.35,0,0,0,0,0,0,0,1.54,10.89,17.67,0,2.01,0,0,0,3.08,4.03,8.43,0,0
 24-34,0,0,0,3.86,0,1.3,0,0,0,0,0,0,0,2.32,0,27.87,0,0.78,0,0,0,0.97,0,8.62,0,0
 36-46,0,0,0,0,0,2.17,1.72,0,0,0,0,0,0,0.57,1.08,11.68,0,0,0,0,0,0,0,2.67,4.04,0
 48-58,0,0,0,0,0,3.49,0,0.53,0,0,0,0,0,2.09,0,30.02,0,0,0,0,0,0,0,1.07,0,0
 60-70,0,0,0,0,0,9.33,0,0,2.28,0,0,0,0,4.27,0,11.16,0,0,0,0,0,0,0,1.78,0,0
 72-82,0,0,0,2.37,0,10.66,0,2.52,0,0,0,2.96,0,1.91,0.81,33.54,0,0,0,0,0,0,0,4.48,0,0
 84-94,0,0,0,1.79,3.41,1.32,0,1.98,0,0,0.75,0,1.64,2.79,0,3.15,0,0,0,0,1.76,0,0,0,0,0
 96-106,0,0,0,0,0,11.02,0,1.21,0,0,0,0,0,5.14,0,11.08,0,0,0.59,0,0,0,0,2.94,0,0
108-118,0,0,0,0,0,0,0,1.09,0,0,0.46,0.47,0,8.14,0,6.71,0.45,0,0,0,0.79,0,0,0,1.26,0.6
120,0,0,0,0,0,0,0,0,0,0,0,1.91,0,2.5,0,18.42,0,0,0,0,0,0,0,0,0,0
