stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0,12.43,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.73,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,10.9,0,0,3.46,11.9,0,0,315.33,0,0,3.01,1.84,0,0,3.04,2.61,0,0,0,0,0
 24-34,0,0,0,0,0,2.24,0,0,0,4.39,0,0,0,0,1.1,0,0,2.68,0,41.29,0,0,6.05,90.32,0,0,638.97,0,0,2.28,0,0,0,1.45,7.49,0,0,5.62,0,0
 36-46,0,0,1.25,0,0,3.77,0,0,0,49,0,0,0,0,0,0,0,0.67,0,375.6,0,0,77.17,105.27,0,0,349.5,0,0,4.45,0,0,3.86,0.83,6.9,0,0,13.05,0,0
 48-58,0,0,15.03,0,0,54.55,0,0,0,571.6,0,0,0,0,0,0,0,0,0,474.28,0,0,78.83,248.75,0,0.88,156.11,0,0,8.27,0,0,0,0,202.09,0,0,41.65,0,0
 60-70,0,0,15.2,0,0,79.54,0,2.09,0,2877.07,0,0,0,4.2,0,2.99,1.52,0,0,947.15,0,9.81,42.28,347.9,0,3.18,85.53,0,0,6.1,0,0,0,0,257.65,0,35.14,92.33,0,8.41
 72-82,0,0.53,8.68,0.99,0,244.64,0,0,0,3801.54,0,0,0,0.53,0,0,0,0,0,1194.86,0,6.06,8.63,716.96,0,2.41,124.71,0,0.89,1.79,0,0,0,0,115.52,0,20.22,914.5,0,0
 84-94,0,0,13.32,1.44,0,218.25,0.91,1.38,0,2457.35,0.99,0,0,0,0.72,0.76,0,4,0,825.08,1.21,1.88,4.21,668.18,0,1.75,79.57,0,12.77,8.88,0,0,0,0,146.16,1.28,22.68,706.77,0,8
 96-106,2.68,0,43.64,5.96,0,159.42,5.21,5.64,4.71,2303.7,0,0,0,2.89,1.72,0,3.06,2,0.65,624.37,0,1.42,14.26,621.34,0,4.18,29.23,0,4.28,7.5,0,0.71,0,0,69.24,4.45,55.4,864.89,6.78,0
108-118,0,0,15.22,0.58,0,136.08,0,0.78,3.56,2746.85,0.47,0,0,2.85,2.81,0,3.68,3.9,0,663.07,0,0,4.63,775.11,0,0.86,56.26,0,4.53,5.26,0,0.94,0,0,35.87,0,31.16,953.71,1.76,0
120,0,0,8.35,0,11.16,234.76,0,1.31,19.12,3100.46,1.74,0,2.63,0,0,0,0,15.14,0,520.35,0,0,0,1246.55,1.77,0,70.2,0,5.29,16.61,0,0,0,0,59.59,0,3.4,2104.07,0,0
