stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0
  7-9,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64,7.14,0,0,14.07,0,3.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.62,3.62,0,0,8.38,0,6.22,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,0,4.86,0,0,0,1.37,0,34.69,2.32,0,0,0,2.4,0,0,0,0,3.56
 24-34,0,0,0,17.14,0,0,30.85,0,5.55,0,2.61,0.73,2.95,0,0,15.84,0,0,1.3,0,11.16,5.02,0,8.07,248.77,5.67,0.9,0.82,0,0,2624.59,0,1.29,0,0.66,24.09,0,0,9.28,0,0
 36-46,0,0,0,14.03,1.72,0,29.45,1.11,50.73,0,0.87,0,0,0,0,9.5,0,0,0,0,26.3,43.66,0.88,5.24,139.46,4.35,3.18,0,0,0,10145.96,1.05,0,5.58,0,20.27,0,0,8.97,0,0
 48-58,0,0,0,26.05,2.11,0,263.12,6.66,172.83,14.16,68.01,1.97,2.76,0.83,0.56,36.64,0,0.42,9.01,1.63,121.98,118.96,1.45,21.6,905.79,0.66,3.19,6.62,0,0,19302.95,0,0.61,0,0,211.99,0,0.42,22.29,0,45.9
 60-70,0,0,0,80.41,1.29,0,290.28,7.98,86.83,7.95,36.39,3.2,6.85,0,4,120.33,6.14,0.73,0,1.46,69.34,44.45,2.09,7.35,589.35,1.1,2.82,7.87,0,0,15642.74,0,0,0,0,99.08,0.84,1,7.41,0.87,28.03
 72-82,0,0,0,280.12,6.52,0,86.77,0,76.78,1.07,14.47,1.68,0,1.04,0,64.78,2.2,0,0,0,26.66,65.11,1.02,0,169.59,1.06,1.21,0,0,0,4955.25,0,0,0,0,6.5,20.74,0,8.99,0,16.74
 84-94,0,0,0.7,1183.22,11,0,164.88,1,176.25,2.12,21.06,2.04,0,0,1.9,520.62,0.68,0,0.57,4.43,45.17,125.12,0,2.32,194.18,0,0.56,1.27,0,5.56,16712.76,0,3.22,0,0,33.49,2.66,1.38,1.63,1.11,0.86
 96-106,0,0,0,1586.71,55.42,0,122.05,1,60.07,8.91,43.67,15.19,1.06,0.61,4.69,331.66,0.76,0.62,28.7,0,61.76,87.64,4.37,15.24,229.11,8.16,6.44,2.29,0,5.73,7276.86,0,0,0.69,0,14.55,2.31,1.48,17.78,11.34,16.98
108-118,0,0,0,1833.1,6.27,3.98,108.9,1.54,148.13,3.18,13.05,10,0,1.45,2.34,642.26,0,2.03,2.23,0,48.22,148.79,2.97,6.54,194.08,0.55,1.1,2.02,0,1.08,7791.18,0,1.17,0,0,1.2,5.03,0.57,5.51,0.98,6.93
120,0,0,0,390.67,3.73,5.29,13.49,0,45.93,0,20.09,4.42,0,0,0,119.94,0,0,4.14,0,35.98,27.33,0,0,135.8,0,0,0,0,0,1757.61,0,9.54,0,0,0,0,0,1.54,0,8.45
