stage,axial,blastomeres,endoderm,epidermis,eye,glial,ionocyte,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,320.48,20217.93,0,0,0,0,0,0,0,0,0,0,1233.14,0,0,0
  5-6,102.83,1645.68,0,0,0,0,0,0,71.31,0,0,0,0,0,0,0
  7-9,0,0,5.92,0,14.48,0,0,0,69.01,3.21,0,20.06,3.31,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.87,0,0,0,0,5.62,0,0
 14-21,0,0,0,0,0,0,0,0,5.38,0,0,0,1.54,0,0,0.96
 24-34,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,2.47
 36-46,0,0,0,0,0,0,0,0,0.58,0,1.83,0,0,0,1.06,3.34
 48-58,0,0,0,0,0,0,0,0,0.94,0,1.36,0,0,0,0,1.4
 72-82,0,0,0,0,0,0,0,0,0.85,0,1.74,0,0,0,0,0
 84-94,0,0,0,0,1.51,0,0,0,0,0,2.52,0,0,0,0,0
 96-106,0,0,0,1.45,0,0,0,1.82,0,0,1.64,0,0,0,0,0
108-118,0,0,0,0.54,0,1.07,0,0,2.85,0,0.44,0,0,0,0.61,0
120,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,4.72
