stage,axial,blastomeres,endoderm,eye,gut,iridophores,neural,paraxial_mesoderm
  3-4,0,164.01,0,0,0,0,0,0
  5-6,14.59,142.14,0,0,0,0,0,0
  7-9,0,0,0,8.19,0,0,6.49,6.38
 10-12,0,0,3.04,0,0,0,16.3,0
 36-46,0,0,0,0,0,0,0.57,0
 96-106,0,0,0,0,1.56,0,0,0
120,0,0,0,0,0,2.62,0,0
